Method,Env,Dim,Scale,Type,Seed,Score
disentangled_dcor,halfcheetah-medium-v2,8,1.5,nonlinear,1,36.93170705303218
disentangled_dcor,halfcheetah-medium-v2,13,1.0,nonlinear,1,36.59701025269952
disentangled_dcor,halfcheetah-medium-v2,8,1.0,nonlinear,1,38.94403881723567
disentangled_dcor,halfcheetah-medium-v2,4,1.5,nonlinear,1,37.69474188032832
disentangled_dcor,halfcheetah-medium-v2,17,0.5,nonlinear,1,37.0955131154073
disentangled_dcor,halfcheetah-medium-v2,8,2.0,nonlinear,1,33.02458922485052
disentangled_dcor,halfcheetah-medium-v2,17,1.0,nonlinear,1,36.561348857036855
disentangled_dcor,halfcheetah-medium-v2,13,1.5,nonlinear,1,33.590158668969
disentangled_dcor,halfcheetah-medium-v2,13,0.5,nonlinear,1,40.01048127827088
disentangled_dcor,halfcheetah-medium-v2,4,2.0,nonlinear,1,36.92946479212033
disentangled_dcor,halfcheetah-medium-v2,4,0.5,nonlinear,1,39.431198434186506
disentangled_dcor,halfcheetah-medium-v2,17,1.5,nonlinear,1,26.893257580315062
disentangled_dcor,halfcheetah-medium-v2,17,2.0,nonlinear,1,18.775249715266824
disentangled_dcor,halfcheetah-medium-v2,13,2.0,nonlinear,1,31.12639828574081
disentangled_dcor,halfcheetah-medium-v2,4,1.0,nonlinear,1,39.55894700795503
disentangled_dcor,halfcheetah-medium-v2,8,0.5,nonlinear,1,39.02082114277752
plain,halfcheetah-medium-v2,8,1.5,nonlinear,1,34.86196092812931
plain,halfcheetah-medium-v2,13,1.0,nonlinear,1,38.17505201515943
plain,halfcheetah-medium-v2,8,1.0,nonlinear,1,38.03805456158006
plain,halfcheetah-medium-v2,4,1.5,nonlinear,1,36.159671897252046
plain,halfcheetah-medium-v2,17,0.5,nonlinear,1,36.845119938248565
plain,halfcheetah-medium-v2,8,2.0,nonlinear,1,29.833760543910838
plain,halfcheetah-medium-v2,17,1.0,nonlinear,1,34.249098155981294
plain,halfcheetah-medium-v2,13,1.5,nonlinear,1,34.01774680112048
plain,halfcheetah-medium-v2,13,0.5,nonlinear,1,38.78041416859099
plain,halfcheetah-medium-v2,4,2.0,nonlinear,1,33.85173618393304
plain,halfcheetah-medium-v2,4,0.5,nonlinear,1,38.884814016753246
plain,halfcheetah-medium-v2,17,1.5,nonlinear,1,24.878719241126838
plain,halfcheetah-medium-v2,17,2.0,nonlinear,1,16.20262285967802
plain,halfcheetah-medium-v2,13,2.0,nonlinear,1,21.83600478715551
plain,halfcheetah-medium-v2,4,1.0,nonlinear,1,37.94486132412968
plain,halfcheetah-medium-v2,8,0.5,nonlinear,1,35.81939527221351
pca,halfcheetah-medium-v2,8,1.5,nonlinear,1,3.751777750502632
pca,halfcheetah-medium-v2,13,1.0,nonlinear,1,0.9376422693193994
