Method,Env,Dim,Scale,Type,mean,std,n
disentangled_barlow,ant-medium-v2,28,0.5,nonlinear,70.75940897893581,14.36885147471269,3
disentangled_barlow,ant-medium-v2,28,1.0,nonlinear,66.88768480497727,11.667601064434862,3
disentangled_barlow,ant-medium-v2,28,1.5,nonlinear,52.96042560675201,40.65347591367465,3
disentangled_barlow,ant-medium-v2,28,2.0,nonlinear,38.097353586830415,31.743648206656868,3
disentangled_barlow,ant-medium-v2,56,0.5,nonlinear,38.85457991971658,38.74563127717895,3
disentangled_barlow,ant-medium-v2,56,1.0,nonlinear,42.70790317306248,37.92777680947454,3
disentangled_barlow,ant-medium-v2,56,1.5,nonlinear,19.721600742997314,26.984939385954373,3
disentangled_barlow,ant-medium-v2,56,2.0,nonlinear,16.204619075653294,19.637121432074842,3
disentangled_barlow,ant-medium-v2,83,0.5,nonlinear,34.07068668358493,38.86918408751256,3
disentangled_barlow,ant-medium-v2,83,1.0,nonlinear,5.479193081624916,0.8775801597774732,3
disentangled_barlow,ant-medium-v2,83,1.5,nonlinear,-2.9507830965516053,8.79144440796595,3
disentangled_barlow,ant-medium-v2,83,2.0,nonlinear,11.605451800643978,13.052759590556878,3
disentangled_barlow,ant-medium-v2,111,0.5,nonlinear,1.291385169999505,4.868855350007877,3
disentangled_barlow,ant-medium-v2,111,1.0,nonlinear,41.46904909498847,15.69542691371496,3
disentangled_barlow,ant-medium-v2,111,1.5,nonlinear,34.185717616667795,8.274531798021854,3
disentangled_barlow,ant-medium-v2,111,2.0,nonlinear,17.20652932855843,2.1232211756992694,3
disentangled_dcor,ant-medium-v2,28,0.5,nonlinear,78.06668399952082,4.9322524086769155,3
disentangled_dcor,ant-medium-v2,28,1.0,nonlinear,79.65936475589486,7.9413947640767795,3
disentangled_dcor,ant-medium-v2,28,1.5,nonlinear,60.386011224723745,2.9760385358120307,3
disentangled_dcor,ant-medium-v2,28,2.0,nonlinear,62.44960109954778,9.673298700594922,3
disentangled_dcor,ant-medium-v2,56,0.5,nonlinear,63.60602368318363,11.80958855847561,3
disentangled_dcor,ant-medium-v2,56,1.0,nonlinear,70.05165753550257,3.9583848261839885,3
