Method,Env,Dim,Scale,Type,mean,std,n
disentangled_barlow,halfcheetah-medium-v2,17,1.0,concat,40.22085814934682,0.2613385767725007,3
disentangled_barlow,halfcheetah-medium-v2,17,2.0,concat,40.365714017538544,0.5090526572599996,3
disentangled_barlow,halfcheetah-medium-v2,34,1.0,concat,38.97107237140613,0.6262295571244274,3
disentangled_barlow,halfcheetah-medium-v2,34,2.0,concat,39.935643285073354,0.6992343899534661,3
disentangled_cov,halfcheetah-medium-v2,17,1.0,concat,40.486742898107494,0.1361087392130051,3
disentangled_cov,halfcheetah-medium-v2,17,2.0,concat,40.078854120782914,1.0801389628264486,3
disentangled_cov,halfcheetah-medium-v2,34,1.0,concat,40.46101964901883,0.6393276098089544,3
disentangled_cov,halfcheetah-medium-v2,34,2.0,concat,40.68843159910517,0.43135182288053303,3
disentangled_dcor,halfcheetah-medium-v2,17,1.0,concat,40.43658745052852,0.38281582812710413,3
disentangled_dcor,halfcheetah-medium-v2,17,2.0,concat,40.12550618520343,0.505399893301711,3
disentangled_dcor,halfcheetah-medium-v2,34,1.0,concat,39.782553418586986,1.260488500468383,3
disentangled_dcor,halfcheetah-medium-v2,34,2.0,concat,39.89606147710901,1.271393657595628,3
disentangled_hsic,halfcheetah-medium-v2,17,1.0,concat,40.73027089905166,0.535329459938793,2
disentangled_hsic,halfcheetah-medium-v2,17,2.0,concat,39.788442033054764,1.6847802976402866,2
disentangled_hsic,halfcheetah-medium-v2,34,1.0,concat,36.7499465381493,1.317393587475853,2
disentangled_hsic,halfcheetah-medium-v2,34,2.0,concat,38.50013016519368,1.2386128271739056,2
disentangled_infonce,halfcheetah-medium-v2,17,1.0,concat,39.9781693490964,0.7248132339314325,3
disentangled_infonce,halfcheetah-medium-v2,17,2.0,concat,39.84355183307033,0.415344399892328,3
disentangled_infonce,halfcheetah-medium-v2,34,1.0,concat,39.98689051276842,0.3822238268992031,3
disentangled_infonce,halfcheetah-medium-v2,34,2.0,concat,40.37918564477469,0.8294733058149059,3
disentangled_l1,halfcheetah-medium-v2,17,1.0,concat,37.72038600417271,2.7905158610221887,3
disentangled_l1,halfcheetah-medium-v2,17,2.0,concat,39.81419583370102,1.143215677902894,3
disentangled_l1,halfcheetah-medium-v2,34,1.0,concat,34.11557487217481,3.292947479829789,3
disentangled_l1,halfcheetah-medium-v2,34,2.0,concat,34.9283719823774,4.7375698687647265,3
plain,halfcheetah-medium-v2,17,1.0,concat,39.43474032626472,1.50413727325227,3
plain,halfcheetah-medium-v2,17,2.0,concat,40.68460191393929,0.09058605458622725,3
plain,halfcheetah-medium-v2,34,1.0,concat,41.14537483272826,0.6014344250335962,3
plain,halfcheetah-medium-v2,34,2.0,concat,40.76787885299967,0.3762477986709836,3
raw_noisy,halfcheetah-medium-v2,17,1.0,concat,38.18203436295875,2.254562066552408,3
raw_noisy,halfcheetah-medium-v2,17,2.0,concat,39.840430255983925,0.45843481748001297,3
raw_noisy,halfcheetah-medium-v2,34,1.0,concat,39.50234423410916,0.9904129047745508,3
raw_noisy,halfcheetah-medium-v2,34,2.0,concat,40.30487682574273,0.6594781777915302,3
