Method,Env,Dim,Scale,Type,Seed,Score
disentangled_hsic_no_priv,halfcheetah-medium-v2,8,1.5,nonlinear,1,32.74924117825868
disentangled_hsic_no_priv,halfcheetah-medium-v2,8,1.5,nonlinear,3,34.96766487502472
disentangled_hsic_no_priv,halfcheetah-medium-v2,8,1.5,nonlinear,2,31.526684030528124
disentangled_hsic_no_priv,halfcheetah-medium-v2,13,1.0,nonlinear,1,34.05680217188421
disentangled_hsic_no_priv,halfcheetah-medium-v2,13,1.0,nonlinear,3,37.447764711095374
disentangled_hsic_no_priv,halfcheetah-medium-v2,13,1.0,nonlinear,2,35.53758220295949
disentangled_hsic_no_priv,halfcheetah-medium-v2,8,1.0,nonlinear,1,37.47872770685619
disentangled_hsic_no_priv,halfcheetah-medium-v2,8,1.0,nonlinear,3,36.98136740881488
disentangled_hsic_no_priv,halfcheetah-medium-v2,8,1.0,nonlinear,2,32.83388298629008
disentangled_hsic_no_priv,halfcheetah-medium-v2,4,1.5,nonlinear,1,38.376990225172584
disentangled_hsic_no_priv,halfcheetah-medium-v2,4,1.5,nonlinear,3,37.07945688100368
disentangled_hsic_no_priv,halfcheetah-medium-v2,4,1.5,nonlinear,2,34.42038311822953
disentangled_hsic_no_priv,halfcheetah-medium-v2,17,0.5,nonlinear,1,6.810410021687694
disentangled_hsic_no_priv,halfcheetah-medium-v2,17,0.5,nonlinear,3,37.72269387064727
disentangled_hsic_no_priv,halfcheetah-medium-v2,17,0.5,nonlinear,2,37.83067313223914
disentangled_hsic_no_priv,halfcheetah-medium-v2,8,2.0,nonlinear,1,27.15627041113864
disentangled_hsic_no_priv,halfcheetah-medium-v2,8,2.0,nonlinear,3,27.97400460019577
disentangled_hsic_no_priv,halfcheetah-medium-v2,8,2.0,nonlinear,2,23.585899831119896
disentangled_hsic_no_priv,halfcheetah-medium-v2,17,1.0,nonlinear,1,32.96353508212954
disentangled_hsic_no_priv,halfcheetah-medium-v2,17,1.0,nonlinear,3,32.40910851702889
