Method,Env,Dim,Scale,Type,Seed,Score
disentangled_hsic_reward_only,halfcheetah-medium-v2,8,1.5,nonlinear,1,11.479736029800666
disentangled_hsic_reward_only,halfcheetah-medium-v2,8,1.5,nonlinear,3,18.93985103907124
disentangled_hsic_reward_only,halfcheetah-medium-v2,8,1.5,nonlinear,2,13.79965230823219
disentangled_hsic_reward_only,halfcheetah-medium-v2,13,1.0,nonlinear,1,14.667052172406589
disentangled_hsic_reward_only,halfcheetah-medium-v2,13,1.0,nonlinear,3,23.768418069471952
disentangled_hsic_reward_only,halfcheetah-medium-v2,13,1.0,nonlinear,2,16.650865130298474
disentangled_hsic_reward_only,halfcheetah-medium-v2,8,1.0,nonlinear,1,16.57600302755479
disentangled_hsic_reward_only,halfcheetah-medium-v2,8,1.0,nonlinear,3,19.843098173838477
disentangled_hsic_reward_only,halfcheetah-medium-v2,8,1.0,nonlinear,2,22.14645417989146
disentangled_hsic_reward_only,halfcheetah-medium-v2,4,1.5,nonlinear,1,9.70417295737283
disentangled_hsic_reward_only,halfcheetah-medium-v2,4,1.5,nonlinear,3,17.495492265573905
disentangled_hsic_reward_only,halfcheetah-medium-v2,4,1.5,nonlinear,2,12.995686798033281
disentangled_hsic_reward_only,halfcheetah-medium-v2,17,0.5,nonlinear,1,27.097847225748435
disentangled_hsic_reward_only,halfcheetah-medium-v2,17,0.5,nonlinear,3,22.740403778218372
disentangled_hsic_reward_only,halfcheetah-medium-v2,17,0.5,nonlinear,2,26.772971637743193
disentangled_hsic_reward_only,halfcheetah-medium-v2,8,2.0,nonlinear,1,9.076565583087023
disentangled_hsic_reward_only,halfcheetah-medium-v2,8,2.0,nonlinear,3,11.22072737100166
disentangled_hsic_reward_only,halfcheetah-medium-v2,8,2.0,nonlinear,2,12.582759074076133
disentangled_hsic_reward_only,halfcheetah-medium-v2,17,1.0,nonlinear,1,14.686219102862891
disentangled_hsic_reward_only,halfcheetah-medium-v2,17,1.0,nonlinear,3,19.7426801812702
disentangled_hsic_reward_only,halfcheetah-medium-v2,17,1.0,nonlinear,2,20.755565420051266
disentangled_hsic_reward_only,halfcheetah-medium-v2,13,1.5,nonlinear,1,11.922439703803793
disentangled_hsic_reward_only,halfcheetah-medium-v2,13,1.5,nonlinear,3,12.857566361905981
disentangled_hsic_reward_only,halfcheetah-medium-v2,13,1.5,nonlinear,2,11.490323287573244
disentangled_hsic_reward_only,halfcheetah-medium-v2,13,0.5,nonlinear,1,21.4081963964009
disentangled_hsic_reward_only,halfcheetah-medium-v2,13,0.5,nonlinear,3,25.127130007366816
disentangled_hsic_reward_only,halfcheetah-medium-v2,13,0.5,nonlinear,2,28.09838654243102
disentangled_hsic_reward_only,halfcheetah-medium-v2,4,2.0,nonlinear,1,8.254604637534232
disentangled_hsic_reward_only,halfcheetah-medium-v2,4,2.0,nonlinear,3,22.0302226397856
disentangled_hsic_reward_only,halfcheetah-medium-v2,4,2.0,nonlinear,2,10.389672475987034
disentangled_hsic_reward_only,halfcheetah-medium-v2,4,0.5,nonlinear,1,23.122417795091014
disentangled_hsic_reward_only,halfcheetah-medium-v2,4,0.5,nonlinear,3,27.281373550808542
disentangled_hsic_reward_only,halfcheetah-medium-v2,4,0.5,nonlinear,2,21.926529849955216
disentangled_hsic_reward_only,halfcheetah-medium-v2,17,1.5,nonlinear,1,12.352758091647488
disentangled_hsic_reward_only,halfcheetah-medium-v2,17,1.5,nonlinear,3,9.890582686040412
disentangled_hsic_reward_only,halfcheetah-medium-v2,17,1.5,nonlinear,2,12.194586933286407
disentangled_hsic_reward_only,halfcheetah-medium-v2,17,2.0,nonlinear,1,6.870885629496143
disentangled_hsic_reward_only,halfcheetah-medium-v2,17,2.0,nonlinear,3,6.647114566573846
disentangled_hsic_reward_only,halfcheetah-medium-v2,17,2.0,nonlinear,2,7.39431938502408
disentangled_hsic_reward_only,halfcheetah-medium-v2,13,2.0,nonlinear,1,6.892242957075527
disentangled_hsic_reward_only,halfcheetah-medium-v2,13,2.0,nonlinear,3,10.26723601901017
disentangled_hsic_reward_only,halfcheetah-medium-v2,13,2.0,nonlinear,2,9.135095668482029
disentangled_hsic_reward_only,halfcheetah-medium-v2,4,1.0,nonlinear,1,12.600314396318218
disentangled_hsic_reward_only,halfcheetah-medium-v2,4,1.0,nonlinear,3,24.96097452110267
