Method,Env,Dim,Scale,Type,Seed,Score
disentangled_dcor,halfcheetah-medium-v2,8,1.5,nonlinear,1,36.93170705303218
disentangled_dcor,halfcheetah-medium-v2,8,1.5,nonlinear,3,38.819977355746275
disentangled_dcor,halfcheetah-medium-v2,8,1.5,nonlinear,2,36.610603912378394
disentangled_dcor,halfcheetah-medium-v2,13,1.0,nonlinear,1,36.59701025269952
disentangled_dcor,halfcheetah-medium-v2,13,1.0,nonlinear,3,36.29785214596027
disentangled_dcor,halfcheetah-medium-v2,13,1.0,nonlinear,2,36.083307199390184
disentangled_dcor,halfcheetah-medium-v2,8,1.0,nonlinear,1,38.94403881723567
disentangled_dcor,halfcheetah-medium-v2,8,1.0,nonlinear,3,39.51923213805284
disentangled_dcor,halfcheetah-medium-v2,8,1.0,nonlinear,2,39.77858629192678
disentangled_dcor,halfcheetah-medium-v2,4,1.5,nonlinear,1,37.69474188032832
disentangled_dcor,halfcheetah-medium-v2,4,1.5,nonlinear,3,36.979553351966935
disentangled_dcor,halfcheetah-medium-v2,4,1.5,nonlinear,2,36.31152581670697
disentangled_dcor,halfcheetah-medium-v2,17,0.5,nonlinear,1,37.0955131154073
disentangled_dcor,halfcheetah-medium-v2,17,0.5,nonlinear,3,37.13273033128907
disentangled_dcor,halfcheetah-medium-v2,17,0.5,nonlinear,2,37.48968869179145
disentangled_dcor,halfcheetah-medium-v2,8,2.0,nonlinear,1,33.02458922485052
disentangled_dcor,halfcheetah-medium-v2,8,2.0,nonlinear,3,34.25484338709441
disentangled_dcor,halfcheetah-medium-v2,8,2.0,nonlinear,2,28.42180397356293
disentangled_dcor,halfcheetah-medium-v2,17,1.0,nonlinear,1,36.561348857036855
disentangled_dcor,halfcheetah-medium-v2,17,1.0,nonlinear,3,34.76604706677076
disentangled_dcor,halfcheetah-medium-v2,17,1.0,nonlinear,2,36.718583710974414
disentangled_dcor,halfcheetah-medium-v2,13,1.5,nonlinear,1,33.590158668969
disentangled_dcor,halfcheetah-medium-v2,13,1.5,nonlinear,3,35.788523401891226
disentangled_dcor,halfcheetah-medium-v2,13,1.5,nonlinear,2,27.814006580975047
disentangled_dcor,halfcheetah-medium-v2,13,0.5,nonlinear,1,40.01048127827088
disentangled_dcor,halfcheetah-medium-v2,13,0.5,nonlinear,3,37.17894970860932
disentangled_dcor,halfcheetah-medium-v2,13,0.5,nonlinear,2,37.68434783264643
disentangled_dcor,halfcheetah-medium-v2,4,2.0,nonlinear,1,36.92946479212033
disentangled_dcor,halfcheetah-medium-v2,4,2.0,nonlinear,3,37.62892887328291
disentangled_dcor,halfcheetah-medium-v2,4,2.0,nonlinear,2,35.961040311610695
disentangled_dcor,halfcheetah-medium-v2,4,0.5,nonlinear,1,39.431198434186506
disentangled_dcor,halfcheetah-medium-v2,4,0.5,nonlinear,3,39.86818239651251
disentangled_dcor,halfcheetah-medium-v2,4,0.5,nonlinear,2,39.24605112612665
disentangled_dcor,halfcheetah-medium-v2,17,1.5,nonlinear,1,26.893257580315062
disentangled_dcor,halfcheetah-medium-v2,17,1.5,nonlinear,3,27.32640824687668
disentangled_dcor,halfcheetah-medium-v2,17,1.5,nonlinear,2,31.161303071617162
disentangled_dcor,halfcheetah-medium-v2,17,2.0,nonlinear,1,18.775249715266824
disentangled_dcor,halfcheetah-medium-v2,17,2.0,nonlinear,3,17.609831541378146
disentangled_dcor,halfcheetah-medium-v2,17,2.0,nonlinear,2,20.302440597963432
disentangled_dcor,halfcheetah-medium-v2,13,2.0,nonlinear,1,31.12639828574081
disentangled_dcor,halfcheetah-medium-v2,13,2.0,nonlinear,3,25.561437508666856
disentangled_dcor,halfcheetah-medium-v2,13,2.0,nonlinear,2,24.611630894379672
disentangled_dcor,halfcheetah-medium-v2,4,1.0,nonlinear,1,39.55894700795503
disentangled_dcor,halfcheetah-medium-v2,4,1.0,nonlinear,3,38.41838068544597
disentangled_dcor,halfcheetah-medium-v2,4,1.0,nonlinear,2,37.96976704767251
disentangled_dcor,halfcheetah-medium-v2,8,0.5,nonlinear,1,39.02082114277752
disentangled_dcor,halfcheetah-medium-v2,8,0.5,nonlinear,3,36.55445672618832
disentangled_dcor,halfcheetah-medium-v2,8,0.5,nonlinear,2,37.46231656537182
raw_noisy_td3bc,halfcheetah-medium-v2,8,1.5,nonlinear,1,39.622044034274765
raw_noisy_td3bc,halfcheetah-medium-v2,8,1.5,nonlinear,3,39.76430152104878
raw_noisy_td3bc,halfcheetah-medium-v2,8,1.5,nonlinear,2,39.60188040862489
raw_noisy_td3bc,halfcheetah-medium-v2,13,1.0,nonlinear,1,40.39279064681864
raw_noisy_td3bc,halfcheetah-medium-v2,13,1.0,nonlinear,3,40.79977994513405
raw_noisy_td3bc,halfcheetah-medium-v2,13,1.0,nonlinear,2,41.53825196665986
raw_noisy_td3bc,halfcheetah-medium-v2,8,1.0,nonlinear,1,42.27223435361087
raw_noisy_td3bc,halfcheetah-medium-v2,8,1.0,nonlinear,3,42.663638561577635
raw_noisy_td3bc,halfcheetah-medium-v2,8,1.0,nonlinear,2,40.952070942385426
raw_noisy_td3bc,halfcheetah-medium-v2,4,1.5,nonlinear,1,38.4233319153804
raw_noisy_td3bc,halfcheetah-medium-v2,4,1.5,nonlinear,3,40.387412634038746
raw_noisy_td3bc,halfcheetah-medium-v2,4,1.5,nonlinear,2,41.76275626900148
raw_noisy_td3bc,halfcheetah-medium-v2,17,0.5,nonlinear,1,43.60690481804831
raw_noisy_td3bc,halfcheetah-medium-v2,17,0.5,nonlinear,3,43.4894157689497
raw_noisy_td3bc,halfcheetah-medium-v2,17,0.5,nonlinear,2,43.16310845855701
raw_noisy_td3bc,halfcheetah-medium-v2,8,2.0,nonlinear,1,39.84228774394635
raw_noisy_td3bc,halfcheetah-medium-v2,8,2.0,nonlinear,3,41.11500582192982
raw_noisy_td3bc,halfcheetah-medium-v2,8,2.0,nonlinear,2,39.254735032905494
raw_noisy_td3bc,halfcheetah-medium-v2,17,1.0,nonlinear,1,39.30941092784002
raw_noisy_td3bc,halfcheetah-medium-v2,17,1.0,nonlinear,3,38.57447533423375
raw_noisy_td3bc,halfcheetah-medium-v2,17,1.0,nonlinear,2,41.99476371116721
raw_noisy_td3bc,halfcheetah-medium-v2,13,1.5,nonlinear,1,36.84238941093566
raw_noisy_td3bc,halfcheetah-medium-v2,13,1.5,nonlinear,3,37.659731335022556
raw_noisy_td3bc,halfcheetah-medium-v2,13,1.5,nonlinear,2,41.062075548315555
raw_noisy_td3bc,halfcheetah-medium-v2,13,0.5,nonlinear,1,42.47690888877484
raw_noisy_td3bc,halfcheetah-medium-v2,13,0.5,nonlinear,3,42.669610281924626
raw_noisy_td3bc,halfcheetah-medium-v2,13,0.5,nonlinear,2,43.59063310417381
raw_noisy_td3bc,halfcheetah-medium-v2,4,2.0,nonlinear,1,37.00205242983454
raw_noisy_td3bc,halfcheetah-medium-v2,4,2.0,nonlinear,3,42.76042919146326
raw_noisy_td3bc,halfcheetah-medium-v2,4,2.0,nonlinear,2,41.197387058278906
raw_noisy_td3bc,halfcheetah-medium-v2,4,0.5,nonlinear,1,43.273354744990925
raw_noisy_td3bc,halfcheetah-medium-v2,4,0.5,nonlinear,3,41.48831581623168
raw_noisy_td3bc,halfcheetah-medium-v2,4,0.5,nonlinear,2,43.57593103341407
raw_noisy_td3bc,halfcheetah-medium-v2,17,1.5,nonlinear,1,39.84135499377909
raw_noisy_td3bc,halfcheetah-medium-v2,17,1.5,nonlinear,3,39.75831585783541
raw_noisy_td3bc,halfcheetah-medium-v2,17,1.5,nonlinear,2,35.8665865836122
raw_noisy_td3bc,halfcheetah-medium-v2,17,2.0,nonlinear,1,33.16572281266396
raw_noisy_td3bc,halfcheetah-medium-v2,17,2.0,nonlinear,3,32.18994367479903
raw_noisy_td3bc,halfcheetah-medium-v2,17,2.0,nonlinear,2,31.30482444428878
raw_noisy_td3bc,halfcheetah-medium-v2,13,2.0,nonlinear,1,37.957669523886466
raw_noisy_td3bc,halfcheetah-medium-v2,13,2.0,nonlinear,3,30.940797303380172
raw_noisy_td3bc,halfcheetah-medium-v2,13,2.0,nonlinear,2,33.03941098661797
raw_noisy_td3bc,halfcheetah-medium-v2,4,1.0,nonlinear,1,42.1000644993369
raw_noisy_td3bc,halfcheetah-medium-v2,4,1.0,nonlinear,3,41.21132046828613
raw_noisy_td3bc,halfcheetah-medium-v2,4,1.0,nonlinear,2,39.04230747398497
raw_noisy_td3bc,halfcheetah-medium-v2,8,0.5,nonlinear,1,43.13903044794353
raw_noisy_td3bc,halfcheetah-medium-v2,8,0.5,nonlinear,3,42.908406268633655
raw_noisy_td3bc,halfcheetah-medium-v2,8,0.5,nonlinear,2,43.70362699618002
plain,halfcheetah-medium-v2,8,1.5,nonlinear,1,34.86196092812931
plain,halfcheetah-medium-v2,8,1.5,nonlinear,3,32.601939837877865
plain,halfcheetah-medium-v2,8,1.5,nonlinear,2,33.046460061475656
plain,halfcheetah-medium-v2,13,1.0,nonlinear,1,38.17505201515943
plain,halfcheetah-medium-v2,13,1.0,nonlinear,3,37.753203924145964
plain,halfcheetah-medium-v2,13,1.0,nonlinear,2,37.24444105748359
plain,halfcheetah-medium-v2,8,1.0,nonlinear,1,38.03805456158006
