Method,Env,Dim,Scale,Type,mean,std,n
disentangled_barlow,halfcheetah-medium-v2,4,0.5,nonlinear,38.44448378551525,0.804104063345093,3
disentangled_barlow,halfcheetah-medium-v2,4,1.0,nonlinear,37.39725255878749,1.644481700117725,3
disentangled_barlow,halfcheetah-medium-v2,4,1.5,nonlinear,38.38103328615646,1.350313282305482,3
disentangled_barlow,halfcheetah-medium-v2,4,2.0,nonlinear,35.69492410458083,1.0694100736162393,3
disentangled_barlow,halfcheetah-medium-v2,8,0.5,nonlinear,37.66632965795619,1.6185407856966088,3
disentangled_barlow,halfcheetah-medium-v2,8,1.0,nonlinear,38.93733436002433,0.6781956546427096,3
disentangled_barlow,halfcheetah-medium-v2,8,1.5,nonlinear,36.54681495824631,1.4973340448447556,3
disentangled_barlow,halfcheetah-medium-v2,8,2.0,nonlinear,32.85582037119354,1.392599721542451,3
disentangled_barlow,halfcheetah-medium-v2,13,0.5,nonlinear,39.076231083588425,1.2379317175673497,3
disentangled_barlow,halfcheetah-medium-v2,13,1.0,nonlinear,36.39074036886155,2.1646145808102983,3
disentangled_barlow,halfcheetah-medium-v2,13,1.5,nonlinear,34.40771125497944,1.2877822475855172,3
disentangled_barlow,halfcheetah-medium-v2,13,2.0,nonlinear,26.423634346136705,1.0436677196015438,3
disentangled_barlow,halfcheetah-medium-v2,17,0.5,nonlinear,38.1382739014941,0.819231413848751,3
disentangled_barlow,halfcheetah-medium-v2,17,1.0,nonlinear,36.98384306989139,1.5830933127969982,3
disentangled_barlow,halfcheetah-medium-v2,17,1.5,nonlinear,29.775802907463845,2.9669793113863165,3
disentangled_barlow,halfcheetah-medium-v2,17,2.0,nonlinear,20.02112785342751,2.147812555123972,3
disentangled_barlow_reward_only,halfcheetah-medium-v2,4,0.5,nonlinear,26.516418342606823,6.535043554976119,3
disentangled_barlow_reward_only,halfcheetah-medium-v2,4,1.0,nonlinear,17.08538140343006,3.7639272754957056,3
disentangled_barlow_reward_only,halfcheetah-medium-v2,4,1.5,nonlinear,10.710041008994844,2.633130982487491,3
disentangled_barlow_reward_only,halfcheetah-medium-v2,4,2.0,nonlinear,10.563818789156032,0.6789488902478537,3
disentangled_barlow_reward_only,halfcheetah-medium-v2,8,0.5,nonlinear,21.1965813885585,7.486465435184047,3
disentangled_barlow_reward_only,halfcheetah-medium-v2,8,1.0,nonlinear,13.952217348307295,2.1473924334435996,3
disentangled_barlow_reward_only,halfcheetah-medium-v2,8,1.5,nonlinear,9.88864654169074,0.6247056284106958,3
disentangled_barlow_reward_only,halfcheetah-medium-v2,8,2.0,nonlinear,7.0222919740855785,1.671851172695273,3
disentangled_barlow_reward_only,halfcheetah-medium-v2,13,0.5,nonlinear,22.908559845070045,1.448036516925106,3
disentangled_barlow_reward_only,halfcheetah-medium-v2,13,1.0,nonlinear,15.164072727890343,6.475210811740189,3
disentangled_barlow_reward_only,halfcheetah-medium-v2,13,1.5,nonlinear,9.48784331267553,1.325463043874646,3
disentangled_barlow_reward_only,halfcheetah-medium-v2,13,2.0,nonlinear,5.642505559391499,1.167110710235925,3
disentangled_barlow_reward_only,halfcheetah-medium-v2,17,0.5,nonlinear,18.583191088155377,7.70052470939867,3
disentangled_barlow_reward_only,halfcheetah-medium-v2,17,1.0,nonlinear,13.510329599568095,0.8469242262259649,3
disentangled_barlow_reward_only,halfcheetah-medium-v2,17,1.5,nonlinear,8.310048033153063,2.4248401582996606,3
disentangled_barlow_reward_only,halfcheetah-medium-v2,17,2.0,nonlinear,5.256130398309776,0.350716568818499,3
disentangled_dcor,halfcheetah-medium-v2,4,0.5,nonlinear,39.51514398560855,0.3194479161000191,3
disentangled_dcor,halfcheetah-medium-v2,4,1.0,nonlinear,38.649031580357835,0.8193125856677766,3
disentangled_dcor,halfcheetah-medium-v2,4,1.5,nonlinear,36.99527368300074,0.691742015690028,3
disentangled_dcor,halfcheetah-medium-v2,4,2.0,nonlinear,36.83981132567131,0.837550817308414,3
disentangled_dcor,halfcheetah-medium-v2,8,0.5,nonlinear,37.67919814477922,1.2474039335632356,3
