Method,Env,Dim,Scale,Type,mean,std,n
disentangled_barlow,halfcheetah-medium-v2,4,0.5,nonlinear,38.44448378551525,0.804104063345093,3
disentangled_barlow,halfcheetah-medium-v2,4,1.0,nonlinear,37.39725255878749,1.644481700117725,3
disentangled_barlow,halfcheetah-medium-v2,4,1.5,nonlinear,38.38103328615646,1.350313282305482,3
disentangled_barlow,halfcheetah-medium-v2,4,2.0,nonlinear,35.69492410458083,1.0694100736162393,3
disentangled_barlow,halfcheetah-medium-v2,8,0.5,nonlinear,37.66632965795619,1.6185407856966088,3
disentangled_barlow,halfcheetah-medium-v2,8,1.0,nonlinear,38.93733436002433,0.6781956546427096,3
disentangled_barlow,halfcheetah-medium-v2,8,1.5,nonlinear,36.54681495824631,1.4973340448447556,3
disentangled_barlow,halfcheetah-medium-v2,8,2.0,nonlinear,32.85582037119354,1.392599721542451,3
disentangled_barlow,halfcheetah-medium-v2,13,0.5,nonlinear,39.076231083588425,1.2379317175673497,3
disentangled_barlow,halfcheetah-medium-v2,13,1.0,nonlinear,36.39074036886155,2.1646145808102983,3
disentangled_barlow,halfcheetah-medium-v2,13,1.5,nonlinear,34.40771125497944,1.2877822475855172,3
disentangled_barlow,halfcheetah-medium-v2,13,2.0,nonlinear,26.423634346136705,1.0436677196015438,3
disentangled_barlow,halfcheetah-medium-v2,17,0.5,nonlinear,38.1382739014941,0.819231413848751,3
disentangled_barlow,halfcheetah-medium-v2,17,1.0,nonlinear,36.98384306989139,1.5830933127969982,3
disentangled_barlow,halfcheetah-medium-v2,17,1.5,nonlinear,29.775802907463845,2.9669793113863165,3
disentangled_barlow,halfcheetah-medium-v2,17,2.0,nonlinear,20.02112785342751,2.147812555123972,3
disentangled_barlow_td3bc,halfcheetah-medium-v2,4,0.5,nonlinear,45.82565188253642,0.2625606276132052,3
disentangled_barlow_td3bc,halfcheetah-medium-v2,4,1.0,nonlinear,45.08394779203874,0.17158683238627412,3
disentangled_barlow_td3bc,halfcheetah-medium-v2,4,1.5,nonlinear,44.11160878676434,0.2576430659508968,3
disentangled_barlow_td3bc,halfcheetah-medium-v2,4,2.0,nonlinear,41.94453570586948,0.6725134284215222,3
disentangled_barlow_td3bc,halfcheetah-medium-v2,8,0.5,nonlinear,45.834299700847566,0.28967906016477507,3
disentangled_barlow_td3bc,halfcheetah-medium-v2,8,1.0,nonlinear,44.87405902349437,0.2836813080781082,3
disentangled_barlow_td3bc,halfcheetah-medium-v2,8,1.5,nonlinear,43.256305541534125,0.47927878267969637,3
disentangled_barlow_td3bc,halfcheetah-medium-v2,8,2.0,nonlinear,39.882816491424975,1.7895563415744398,3
disentangled_barlow_td3bc,halfcheetah-medium-v2,13,0.5,nonlinear,45.147712653555175,0.4392223547549956,3
disentangled_barlow_td3bc,halfcheetah-medium-v2,13,1.0,nonlinear,43.54339213754863,0.664636855423184,3
disentangled_barlow_td3bc,halfcheetah-medium-v2,13,1.5,nonlinear,40.52035242050354,0.6349019417671182,3
disentangled_barlow_td3bc,halfcheetah-medium-v2,13,2.0,nonlinear,38.74160358975067,0.984746144641258,3
disentangled_barlow_td3bc,halfcheetah-medium-v2,17,0.5,nonlinear,45.029511139447095,0.42097135018914356,3
disentangled_barlow_td3bc,halfcheetah-medium-v2,17,1.0,nonlinear,42.74972712751622,0.6527461692570075,3
disentangled_barlow_td3bc,halfcheetah-medium-v2,17,1.5,nonlinear,39.046877983531,1.608373984197333,3
disentangled_barlow_td3bc,halfcheetah-medium-v2,17,2.0,nonlinear,34.121377468636474,3.4920470341459087,3
disentangled_dcor,halfcheetah-medium-v2,4,0.5,nonlinear,39.51514398560855,0.3194479161000191,3
disentangled_dcor,halfcheetah-medium-v2,4,1.0,nonlinear,38.649031580357835,0.8193125856677766,3
disentangled_dcor,halfcheetah-medium-v2,4,1.5,nonlinear,36.99527368300074,0.691742015690028,3
disentangled_dcor,halfcheetah-medium-v2,4,2.0,nonlinear,36.83981132567131,0.837550817308414,3
disentangled_dcor,halfcheetah-medium-v2,8,0.5,nonlinear,37.67919814477922,1.2474039335632356,3
