Method,Env,Dim,Scale,Type,Seed,Score
raw_noisy_td3bc,halfcheetah-medium-v2,8,1.5,nonlinear,1,39.622044034274765
raw_noisy_td3bc,halfcheetah-medium-v2,8,1.5,nonlinear,3,39.76430152104878
raw_noisy_td3bc,halfcheetah-medium-v2,8,1.5,nonlinear,2,39.60188040862489
raw_noisy_td3bc,halfcheetah-medium-v2,13,1.0,nonlinear,1,40.39279064681864
raw_noisy_td3bc,halfcheetah-medium-v2,13,1.0,nonlinear,3,40.79977994513405
raw_noisy_td3bc,halfcheetah-medium-v2,13,1.0,nonlinear,2,41.53825196665986
raw_noisy_td3bc,halfcheetah-medium-v2,8,1.0,nonlinear,1,42.27223435361087
raw_noisy_td3bc,halfcheetah-medium-v2,8,1.0,nonlinear,3,42.663638561577635
raw_noisy_td3bc,halfcheetah-medium-v2,8,1.0,nonlinear,2,40.952070942385426
raw_noisy_td3bc,halfcheetah-medium-v2,4,1.5,nonlinear,1,38.4233319153804
raw_noisy_td3bc,halfcheetah-medium-v2,4,1.5,nonlinear,3,40.387412634038746
raw_noisy_td3bc,halfcheetah-medium-v2,4,1.5,nonlinear,2,41.76275626900148
raw_noisy_td3bc,halfcheetah-medium-v2,17,0.5,nonlinear,1,43.60690481804831
raw_noisy_td3bc,halfcheetah-medium-v2,17,0.5,nonlinear,3,43.4894157689497
raw_noisy_td3bc,halfcheetah-medium-v2,17,0.5,nonlinear,2,43.16310845855701
raw_noisy_td3bc,halfcheetah-medium-v2,8,2.0,nonlinear,1,39.84228774394635
raw_noisy_td3bc,halfcheetah-medium-v2,8,2.0,nonlinear,3,41.11500582192982
raw_noisy_td3bc,halfcheetah-medium-v2,8,2.0,nonlinear,2,39.254735032905494
raw_noisy_td3bc,halfcheetah-medium-v2,17,1.0,nonlinear,1,39.30941092784002
raw_noisy_td3bc,halfcheetah-medium-v2,17,1.0,nonlinear,3,38.57447533423375
raw_noisy_td3bc,halfcheetah-medium-v2,17,1.0,nonlinear,2,41.99476371116721
raw_noisy_td3bc,halfcheetah-medium-v2,13,1.5,nonlinear,1,36.84238941093566
raw_noisy_td3bc,halfcheetah-medium-v2,13,1.5,nonlinear,3,37.659731335022556
raw_noisy_td3bc,halfcheetah-medium-v2,13,1.5,nonlinear,2,41.062075548315555
raw_noisy_td3bc,halfcheetah-medium-v2,13,0.5,nonlinear,1,42.47690888877484
raw_noisy_td3bc,halfcheetah-medium-v2,13,0.5,nonlinear,3,42.669610281924626
raw_noisy_td3bc,halfcheetah-medium-v2,13,0.5,nonlinear,2,43.59063310417381
raw_noisy_td3bc,halfcheetah-medium-v2,4,2.0,nonlinear,1,37.00205242983454
raw_noisy_td3bc,halfcheetah-medium-v2,4,2.0,nonlinear,3,42.76042919146326
raw_noisy_td3bc,halfcheetah-medium-v2,4,2.0,nonlinear,2,41.197387058278906
raw_noisy_td3bc,halfcheetah-medium-v2,4,0.5,nonlinear,1,43.273354744990925
raw_noisy_td3bc,halfcheetah-medium-v2,4,0.5,nonlinear,3,41.48831581623168
raw_noisy_td3bc,halfcheetah-medium-v2,4,0.5,nonlinear,2,43.57593103341407
raw_noisy_td3bc,halfcheetah-medium-v2,17,1.5,nonlinear,1,39.84135499377909
raw_noisy_td3bc,halfcheetah-medium-v2,17,1.5,nonlinear,3,39.75831585783541
raw_noisy_td3bc,halfcheetah-medium-v2,17,1.5,nonlinear,2,35.8665865836122
raw_noisy_td3bc,halfcheetah-medium-v2,17,2.0,nonlinear,1,33.16572281266396
raw_noisy_td3bc,halfcheetah-medium-v2,17,2.0,nonlinear,3,32.18994367479903
raw_noisy_td3bc,halfcheetah-medium-v2,17,2.0,nonlinear,2,31.30482444428878
raw_noisy_td3bc,halfcheetah-medium-v2,13,2.0,nonlinear,1,37.957669523886466
raw_noisy_td3bc,halfcheetah-medium-v2,13,2.0,nonlinear,3,30.940797303380172
raw_noisy_td3bc,halfcheetah-medium-v2,13,2.0,nonlinear,2,33.03941098661797
raw_noisy_td3bc,halfcheetah-medium-v2,4,1.0,nonlinear,1,42.1000644993369
raw_noisy_td3bc,halfcheetah-medium-v2,4,1.0,nonlinear,3,41.21132046828613
raw_noisy_td3bc,halfcheetah-medium-v2,4,1.0,nonlinear,2,39.04230747398497
