Method,Env,Dim,Scale,Type,mean,std,n
denoised_mdp,halfcheetah-medium-v2,4,0.5,nonlinear,10.729567116529488,,1
denoised_mdp,halfcheetah-medium-v2,4,1.0,nonlinear,11.560974591171439,,1
denoised_mdp,halfcheetah-medium-v2,4,1.5,nonlinear,12.025867059197012,,1
denoised_mdp,halfcheetah-medium-v2,4,2.0,nonlinear,10.372411036765213,,1
denoised_mdp,halfcheetah-medium-v2,8,0.5,nonlinear,33.752416108493335,,1
denoised_mdp,halfcheetah-medium-v2,8,1.0,nonlinear,8.94265245088832,,1
denoised_mdp,halfcheetah-medium-v2,8,1.5,nonlinear,8.265058756520945,,1
denoised_mdp,halfcheetah-medium-v2,8,2.0,nonlinear,4.325511096326013,,1
denoised_mdp,halfcheetah-medium-v2,13,0.5,nonlinear,13.885896045404486,,1
denoised_mdp,halfcheetah-medium-v2,13,1.0,nonlinear,6.5664104425549406,,1
denoised_mdp,halfcheetah-medium-v2,13,1.5,nonlinear,6.660382503561528,,1
denoised_mdp,halfcheetah-medium-v2,13,2.0,nonlinear,3.3560175525719895,,1
denoised_mdp,halfcheetah-medium-v2,17,0.5,nonlinear,12.090516053078256,,1
denoised_mdp,halfcheetah-medium-v2,17,1.0,nonlinear,7.144309309736007,,1
denoised_mdp,halfcheetah-medium-v2,17,1.5,nonlinear,5.334285447763089,,1
denoised_mdp,halfcheetah-medium-v2,17,2.0,nonlinear,4.37475317322484,,1
disentangled_barlow,halfcheetah-medium-v2,4,0.5,nonlinear,38.4695641001496,,1
disentangled_barlow,halfcheetah-medium-v2,4,1.0,nonlinear,36.71149036817504,,1
disentangled_barlow,halfcheetah-medium-v2,4,1.5,nonlinear,37.08629958244519,,1
disentangled_barlow,halfcheetah-medium-v2,4,2.0,nonlinear,36.40895697927018,,1
disentangled_barlow,halfcheetah-medium-v2,8,0.5,nonlinear,39.51298091389071,,1
disentangled_barlow,halfcheetah-medium-v2,8,1.0,nonlinear,39.40748873264377,,1
disentangled_barlow,halfcheetah-medium-v2,8,1.5,nonlinear,35.00252139284344,,1
disentangled_barlow,halfcheetah-medium-v2,8,2.0,nonlinear,32.99387304941404,,1
disentangled_barlow,halfcheetah-medium-v2,13,0.5,nonlinear,40.396153404280945,,1
disentangled_barlow,halfcheetah-medium-v2,13,1.0,nonlinear,38.30272074046144,,1
