Method,Env,Dim,Scale,Type,mean,std,n
denoised_mdp,halfcheetah-medium-v2,4,0.5,nonlinear,15.730367435428677,12.336234635484901,3
denoised_mdp,halfcheetah-medium-v2,4,1.0,nonlinear,13.086846177355303,5.787255468848959,3
denoised_mdp,halfcheetah-medium-v2,4,1.5,nonlinear,13.872121150254484,7.16901754462732,3
denoised_mdp,halfcheetah-medium-v2,4,2.0,nonlinear,11.713800489059873,5.853850600073729,3
denoised_mdp,halfcheetah-medium-v2,8,0.5,nonlinear,17.956903155365737,13.681964120921641,3
denoised_mdp,halfcheetah-medium-v2,8,1.0,nonlinear,7.600233009110105,1.1665937877432633,3
denoised_mdp,halfcheetah-medium-v2,8,1.5,nonlinear,7.0342095749839295,1.437632439851796,3
denoised_mdp,halfcheetah-medium-v2,8,2.0,nonlinear,5.150126323596315,1.458029971748918,3
denoised_mdp,halfcheetah-medium-v2,13,0.5,nonlinear,19.260099052105684,12.431439038040889,3
denoised_mdp,halfcheetah-medium-v2,13,1.0,nonlinear,7.22978312782035,0.8524296564290892,3
denoised_mdp,halfcheetah-medium-v2,13,1.5,nonlinear,6.443417344699654,1.785963522629839,3
denoised_mdp,halfcheetah-medium-v2,13,2.0,nonlinear,3.9435033119888794,0.5424387373233195,3
denoised_mdp,halfcheetah-medium-v2,17,0.5,nonlinear,10.987109947932646,1.716298573364605,3
denoised_mdp,halfcheetah-medium-v2,17,1.0,nonlinear,6.200955308216503,0.8272158723579782,3
denoised_mdp,halfcheetah-medium-v2,17,1.5,nonlinear,5.06232947249205,1.2561867184467284,3
denoised_mdp,halfcheetah-medium-v2,17,2.0,nonlinear,3.767520706575972,0.5263993404314103,3
disentangled_barlow,halfcheetah-medium-v2,4,0.5,nonlinear,38.44448378551525,0.804104063345093,3
disentangled_barlow,halfcheetah-medium-v2,4,1.0,nonlinear,37.39725255878749,1.644481700117725,3
disentangled_barlow,halfcheetah-medium-v2,4,1.5,nonlinear,38.38103328615646,1.350313282305482,3
disentangled_barlow,halfcheetah-medium-v2,4,2.0,nonlinear,35.69492410458083,1.0694100736162393,3
disentangled_barlow,halfcheetah-medium-v2,8,0.5,nonlinear,37.66632965795619,1.6185407856966088,3
disentangled_barlow,halfcheetah-medium-v2,8,1.0,nonlinear,38.93733436002433,0.6781956546427096,3
disentangled_barlow,halfcheetah-medium-v2,8,1.5,nonlinear,36.54681495824631,1.4973340448447556,3
disentangled_barlow,halfcheetah-medium-v2,8,2.0,nonlinear,32.85582037119354,1.392599721542451,3
disentangled_barlow,halfcheetah-medium-v2,13,0.5,nonlinear,39.076231083588425,1.2379317175673497,3
disentangled_barlow,halfcheetah-medium-v2,13,1.0,nonlinear,36.39074036886155,2.1646145808102983,3
disentangled_barlow,halfcheetah-medium-v2,13,1.5,nonlinear,34.40771125497944,1.2877822475855172,3
disentangled_barlow,halfcheetah-medium-v2,13,2.0,nonlinear,26.423634346136705,1.0436677196015438,3
disentangled_barlow,halfcheetah-medium-v2,17,0.5,nonlinear,38.1382739014941,0.819231413848751,3
disentangled_barlow,halfcheetah-medium-v2,17,1.0,nonlinear,36.98384306989139,1.5830933127969982,3
disentangled_barlow,halfcheetah-medium-v2,17,1.5,nonlinear,29.775802907463845,2.9669793113863165,3
disentangled_barlow,halfcheetah-medium-v2,17,2.0,nonlinear,20.02112785342751,2.147812555123972,3
disentangled_dcor,halfcheetah-medium-v2,4,0.5,nonlinear,39.51514398560855,0.3194479161000191,3
disentangled_dcor,halfcheetah-medium-v2,4,1.0,nonlinear,38.649031580357835,0.8193125856677766,3
disentangled_dcor,halfcheetah-medium-v2,4,1.5,nonlinear,36.99527368300074,0.691742015690028,3
disentangled_dcor,halfcheetah-medium-v2,4,2.0,nonlinear,36.83981132567131,0.837550817308414,3
disentangled_dcor,halfcheetah-medium-v2,8,0.5,nonlinear,37.67919814477922,1.2474039335632356,3
disentangled_dcor,halfcheetah-medium-v2,8,1.0,nonlinear,39.41395241573843,0.4271185278424158,3
disentangled_dcor,halfcheetah-medium-v2,8,1.5,nonlinear,37.45409610705229,1.193733846334612,3
disentangled_dcor,halfcheetah-medium-v2,8,2.0,nonlinear,31.90041219516929,3.0747223769797696,3
disentangled_dcor,halfcheetah-medium-v2,13,0.5,nonlinear,38.29125960650888,1.5101818378715737,3
disentangled_dcor,halfcheetah-medium-v2,13,1.0,nonlinear,36.326056532683324,0.2580103143629186,3
disentangled_dcor,halfcheetah-medium-v2,13,1.5,nonlinear,32.39756288394509,4.118852165544592,3
disentangled_dcor,halfcheetah-medium-v2,13,2.0,nonlinear,27.099822229595777,3.5193066366936905,3
disentangled_dcor,halfcheetah-medium-v2,17,0.5,nonlinear,37.23931071282927,0.21763071830829842,3
disentangled_dcor,halfcheetah-medium-v2,17,1.0,nonlinear,36.01532654492734,1.0847603932346446,3
disentangled_dcor,halfcheetah-medium-v2,17,1.5,nonlinear,28.460322966269633,2.349122181177054,3
disentangled_dcor,halfcheetah-medium-v2,17,2.0,nonlinear,18.8958406182028,1.3503490316597642,3
disentangled_hsic,halfcheetah-medium-v2,4,0.5,nonlinear,40.02936775691825,0.390764611621546,3
disentangled_hsic,halfcheetah-medium-v2,4,1.0,nonlinear,39.897159129996325,0.19457521395418997,3
disentangled_hsic,halfcheetah-medium-v2,4,1.5,nonlinear,38.60358835079591,1.613926118770507,3
disentangled_hsic,halfcheetah-medium-v2,4,2.0,nonlinear,36.866321192964584,0.6069871662381675,3
disentangled_hsic,halfcheetah-medium-v2,8,0.5,nonlinear,39.18915293132001,1.0805757074936606,3
disentangled_hsic,halfcheetah-medium-v2,8,1.0,nonlinear,38.876709277723506,1.2119344180161744,3
disentangled_hsic,halfcheetah-medium-v2,8,1.5,nonlinear,37.37134563373235,1.3094110429591135,3
disentangled_hsic,halfcheetah-medium-v2,8,2.0,nonlinear,34.45485752688222,0.7894377430742304,3
disentangled_hsic,halfcheetah-medium-v2,13,0.5,nonlinear,39.40701639235851,0.7912790345419287,3
disentangled_hsic,halfcheetah-medium-v2,13,1.0,nonlinear,36.458372861717116,1.5942566017519153,3
disentangled_hsic,halfcheetah-medium-v2,13,1.5,nonlinear,33.29044389985451,1.8817412536628657,3
disentangled_hsic,halfcheetah-medium-v2,13,2.0,nonlinear,28.683972376762636,1.541789136398361,3
disentangled_hsic,halfcheetah-medium-v2,17,0.5,nonlinear,38.02977627761284,1.3230899458625076,3
disentangled_hsic,halfcheetah-medium-v2,17,1.0,nonlinear,37.02783329340007,0.8432934578857579,3
disentangled_hsic,halfcheetah-medium-v2,17,1.5,nonlinear,29.735865818278185,3.9497970311857524,3
disentangled_hsic,halfcheetah-medium-v2,17,2.0,nonlinear,18.779182962360625,3.10719767874838,3
pca,halfcheetah-medium-v2,4,0.5,nonlinear,26.350777039182713,0.8571504699532454,3
pca,halfcheetah-medium-v2,4,1.0,nonlinear,22.12168962455111,3.4988101520775796,3
pca,halfcheetah-medium-v2,4,1.5,nonlinear,13.561076701594978,4.663668468276188,3
pca,halfcheetah-medium-v2,4,2.0,nonlinear,10.087391166977179,1.5339779600692542,3
pca,halfcheetah-medium-v2,8,0.5,nonlinear,23.662891271917047,3.040886312190726,3
pca,halfcheetah-medium-v2,8,1.0,nonlinear,3.5527313115328965,2.262008958770795,3
pca,halfcheetah-medium-v2,8,1.5,nonlinear,2.1078679175514585,1.4572505911218632,3
pca,halfcheetah-medium-v2,8,2.0,nonlinear,2.3736133573092633,1.5387630594453632,3
pca,halfcheetah-medium-v2,13,0.5,nonlinear,21.106844671635198,2.601519178394624,3
pca,halfcheetah-medium-v2,13,1.0,nonlinear,1.0837177980549682,0.20136275135850515,3
pca,halfcheetah-medium-v2,13,1.5,nonlinear,2.0271308818022757,0.20168940732278576,3
pca,halfcheetah-medium-v2,13,2.0,nonlinear,1.7467600042497569,0.7825107971140371,3
pca,halfcheetah-medium-v2,17,0.5,nonlinear,20.39225557901415,3.2285007881228123,3
pca,halfcheetah-medium-v2,17,1.0,nonlinear,1.7420224815495586,0.051051198696684216,3
pca,halfcheetah-medium-v2,17,1.5,nonlinear,1.574879027302357,0.11489855658023272,3
pca,halfcheetah-medium-v2,17,2.0,nonlinear,1.8016338009517225,0.38012756544804743,3
