Method,Env,Dim,Scale,Type,Seed,Score
disentangled_dcor,ant-medium-v2,56,1.5,nonlinear,1,54.22124094598586
disentangled_dcor,ant-medium-v2,56,1.5,nonlinear,3,51.882738837995255
disentangled_dcor,ant-medium-v2,56,1.5,nonlinear,2,53.614294789670765
disentangled_dcor,ant-medium-v2,83,1.0,nonlinear,1,69.46746287520912
disentangled_dcor,ant-medium-v2,83,1.0,nonlinear,3,31.38102022436926
disentangled_dcor,ant-medium-v2,83,1.0,nonlinear,2,57.739347189066415
disentangled_dcor,ant-medium-v2,111,1.0,nonlinear,1,53.70478678894648
disentangled_dcor,ant-medium-v2,111,1.0,nonlinear,3,63.75410579241424
disentangled_dcor,ant-medium-v2,111,1.0,nonlinear,2,66.82713328884587
disentangled_dcor,ant-medium-v2,28,1.0,nonlinear,1,83.40848581995577
disentangled_dcor,ant-medium-v2,28,1.0,nonlinear,3,85.03213609388163
disentangled_dcor,ant-medium-v2,28,1.0,nonlinear,2,70.53747235384719
disentangled_dcor,ant-medium-v2,56,0.5,nonlinear,1,57.438980689383826
disentangled_dcor,ant-medium-v2,56,0.5,nonlinear,3,77.2224492171925
disentangled_dcor,ant-medium-v2,56,0.5,nonlinear,2,56.15664114297455
disentangled_dcor,ant-medium-v2,111,0.5,nonlinear,1,76.20907026175846
disentangled_dcor,ant-medium-v2,111,0.5,nonlinear,3,65.64714833502704
disentangled_dcor,ant-medium-v2,111,0.5,nonlinear,2,75.46203077711024
disentangled_dcor,ant-medium-v2,28,1.5,nonlinear,1,57.24700400286507
disentangled_dcor,ant-medium-v2,28,1.5,nonlinear,3,60.74440765109942
disentangled_dcor,ant-medium-v2,28,1.5,nonlinear,2,63.16662202020675
disentangled_dcor,ant-medium-v2,83,2.0,nonlinear,1,38.70415925347673
disentangled_dcor,ant-medium-v2,83,2.0,nonlinear,3,22.62919058580862
disentangled_dcor,ant-medium-v2,83,2.0,nonlinear,2,32.02533305557751
disentangled_dcor,ant-medium-v2,111,1.5,nonlinear,1,30.07507767479382
disentangled_dcor,ant-medium-v2,111,1.5,nonlinear,3,37.06918828780565
disentangled_dcor,ant-medium-v2,111,1.5,nonlinear,2,37.99517211239783
disentangled_dcor,ant-medium-v2,28,2.0,nonlinear,1,51.49527477277083
disentangled_dcor,ant-medium-v2,28,2.0,nonlinear,3,69.8174675172288
disentangled_dcor,ant-medium-v2,28,2.0,nonlinear,2,66.0360610086437
disentangled_dcor,ant-medium-v2,28,0.5,nonlinear,1,83.75148497522436
disentangled_dcor,ant-medium-v2,28,0.5,nonlinear,3,75.52326883384943
disentangled_dcor,ant-medium-v2,28,0.5,nonlinear,2,74.92529818948867
disentangled_dcor,ant-medium-v2,83,0.5,nonlinear,1,50.92038785081128
disentangled_dcor,ant-medium-v2,83,0.5,nonlinear,3,75.51854466993835
disentangled_dcor,ant-medium-v2,83,0.5,nonlinear,2,77.64874892092931
disentangled_dcor,ant-medium-v2,111,2.0,nonlinear,1,23.773929605200685
disentangled_dcor,ant-medium-v2,111,2.0,nonlinear,3,26.726649897076708
disentangled_dcor,ant-medium-v2,111,2.0,nonlinear,2,19.878457285266208
disentangled_dcor,ant-medium-v2,56,2.0,nonlinear,1,51.0190336577527
disentangled_dcor,ant-medium-v2,56,2.0,nonlinear,3,38.23580618125149
disentangled_dcor,ant-medium-v2,56,2.0,nonlinear,2,37.09633206381711
disentangled_dcor,ant-medium-v2,56,1.0,nonlinear,1,66.68085167195858
disentangled_dcor,ant-medium-v2,56,1.0,nonlinear,3,74.41045929739452
disentangled_dcor,ant-medium-v2,56,1.0,nonlinear,2,69.06366163715462
disentangled_dcor,ant-medium-v2,83,1.5,nonlinear,1,55.96751973994263
disentangled_dcor,ant-medium-v2,83,1.5,nonlinear,3,39.61614871048364
disentangled_dcor,ant-medium-v2,83,1.5,nonlinear,2,31.92499552434327
plain,ant-medium-v2,56,1.5,nonlinear,1,44.442665073500955
plain,ant-medium-v2,56,1.5,nonlinear,3,47.305964816463906
plain,ant-medium-v2,56,1.5,nonlinear,2,52.59818561006886
plain,ant-medium-v2,83,1.0,nonlinear,1,69.38180608080413
plain,ant-medium-v2,83,1.0,nonlinear,3,62.27204697637478
plain,ant-medium-v2,83,1.0,nonlinear,2,61.17712330558239
plain,ant-medium-v2,111,1.0,nonlinear,1,72.84977997788393
plain,ant-medium-v2,111,1.0,nonlinear,3,59.57527279100948
plain,ant-medium-v2,111,1.0,nonlinear,2,59.069374043205954
plain,ant-medium-v2,28,1.0,nonlinear,1,75.3421897521499
plain,ant-medium-v2,28,1.0,nonlinear,3,68.1583985588866
plain,ant-medium-v2,28,1.0,nonlinear,2,83.93994851187142
plain,ant-medium-v2,56,0.5,nonlinear,1,81.64987443357286
plain,ant-medium-v2,56,0.5,nonlinear,3,79.43715914642333
plain,ant-medium-v2,56,0.5,nonlinear,2,83.51363351531981
plain,ant-medium-v2,111,0.5,nonlinear,1,83.89611271870328
plain,ant-medium-v2,111,0.5,nonlinear,3,80.675745515209
plain,ant-medium-v2,111,0.5,nonlinear,2,85.91492820198755
plain,ant-medium-v2,28,1.5,nonlinear,1,47.67777362798638
plain,ant-medium-v2,28,1.5,nonlinear,3,64.74767693157636
plain,ant-medium-v2,28,1.5,nonlinear,2,65.86862769119439
plain,ant-medium-v2,83,2.0,nonlinear,1,28.960559458380068
plain,ant-medium-v2,83,2.0,nonlinear,3,30.36497049717073
plain,ant-medium-v2,83,2.0,nonlinear,2,23.71438603527031
plain,ant-medium-v2,111,1.5,nonlinear,1,34.83905141188517
plain,ant-medium-v2,111,1.5,nonlinear,3,28.956264223229084
plain,ant-medium-v2,111,1.5,nonlinear,2,36.05361259277162
plain,ant-medium-v2,28,2.0,nonlinear,1,52.63687467494316
plain,ant-medium-v2,28,2.0,nonlinear,3,65.46966663413146
plain,ant-medium-v2,28,2.0,nonlinear,2,65.8015572430022
plain,ant-medium-v2,28,0.5,nonlinear,1,65.3131839024438
plain,ant-medium-v2,28,0.5,nonlinear,3,73.46017161117335
plain,ant-medium-v2,28,0.5,nonlinear,2,73.82196204060692
plain,ant-medium-v2,83,0.5,nonlinear,1,87.9011352743656
plain,ant-medium-v2,83,0.5,nonlinear,3,75.76806082306075
plain,ant-medium-v2,83,0.5,nonlinear,2,72.96063101964377
plain,ant-medium-v2,111,2.0,nonlinear,1,19.886801744957204
plain,ant-medium-v2,111,2.0,nonlinear,3,21.561930437907332
plain,ant-medium-v2,111,2.0,nonlinear,2,24.043699451580807
plain,ant-medium-v2,56,2.0,nonlinear,1,37.01162275350012
plain,ant-medium-v2,56,2.0,nonlinear,3,49.34214589581136
plain,ant-medium-v2,56,2.0,nonlinear,2,40.49264058306559
plain,ant-medium-v2,56,1.0,nonlinear,1,67.31998368384762
plain,ant-medium-v2,56,1.0,nonlinear,3,61.81313259554043
plain,ant-medium-v2,56,1.0,nonlinear,2,75.23236503195635
plain,ant-medium-v2,83,1.5,nonlinear,1,52.39082938133869
