Method,Env,Dim,Scale,Type,Seed,Score
disentangled_dcor,halfcheetah-medium-v2,34,2.0,concat,1,40.61193734733276
disentangled_dcor,halfcheetah-medium-v2,34,2.0,concat,3,40.64811594575399
disentangled_dcor,halfcheetah-medium-v2,34,2.0,concat,2,38.428131138240275
disentangled_dcor,halfcheetah-medium-v2,17,2.0,concat,1,40.59925214558008
disentangled_dcor,halfcheetah-medium-v2,17,2.0,concat,3,40.18376474504342
disentangled_dcor,halfcheetah-medium-v2,17,2.0,concat,2,39.59350166498679
disentangled_dcor,halfcheetah-medium-v2,34,1.0,concat,1,38.419813769157344
disentangled_dcor,halfcheetah-medium-v2,34,1.0,concat,3,40.02116287276565
disentangled_dcor,halfcheetah-medium-v2,34,1.0,concat,2,40.906683613837956
disentangled_dcor,halfcheetah-medium-v2,17,1.0,concat,1,40.835003822065445
disentangled_dcor,halfcheetah-medium-v2,17,1.0,concat,3,40.4031992105843
disentangled_dcor,halfcheetah-medium-v2,17,1.0,concat,2,40.071559318935826
plain,halfcheetah-medium-v2,34,2.0,concat,1,40.91314380824592
plain,halfcheetah-medium-v2,34,2.0,concat,3,40.34065368567787
plain,halfcheetah-medium-v2,34,2.0,concat,2,41.04983906507522
plain,halfcheetah-medium-v2,17,2.0,concat,1,40.58178694397664
plain,halfcheetah-medium-v2,17,2.0,concat,3,40.719346723589716
plain,halfcheetah-medium-v2,17,2.0,concat,2,40.752672074251514
plain,halfcheetah-medium-v2,34,1.0,concat,1,41.52319298833456
plain,halfcheetah-medium-v2,34,1.0,concat,3,40.45182385358696
plain,halfcheetah-medium-v2,34,1.0,concat,2,41.46110765626326
plain,halfcheetah-medium-v2,17,1.0,concat,1,37.76491581790663
plain,halfcheetah-medium-v2,17,1.0,concat,3,40.683407967419896
plain,halfcheetah-medium-v2,17,1.0,concat,2,39.85589719346764
raw_noisy,halfcheetah-medium-v2,34,2.0,concat,1,39.59880075377512
raw_noisy,halfcheetah-medium-v2,34,2.0,concat,3,40.90490454254202
raw_noisy,halfcheetah-medium-v2,34,2.0,concat,2,40.41092518091104
raw_noisy,halfcheetah-medium-v2,17,2.0,concat,1,39.4048465926413
raw_noisy,halfcheetah-medium-v2,17,2.0,concat,3,39.7977175079456
raw_noisy,halfcheetah-medium-v2,17,2.0,concat,2,40.31872666736488
raw_noisy,halfcheetah-medium-v2,34,1.0,concat,1,40.38672101733813
raw_noisy,halfcheetah-medium-v2,34,1.0,concat,3,38.43220202181345
