Method,Env,Dim,Scale,Type,Seed,Score
disentangled_dcor,halfcheetah-medium-v2,20,0.5,nonlinear,5,37.076612544154784
disentangled_dcor,halfcheetah-medium-v2,20,0.5,nonlinear,1,39.7964333258518
disentangled_dcor,halfcheetah-medium-v2,20,0.5,nonlinear,3,38.83933483668528
disentangled_dcor,halfcheetah-medium-v2,20,0.5,nonlinear,2,39.41855064781485
disentangled_dcor,halfcheetah-medium-v2,10,8.0,nonlinear,5,1.6155454212103084
disentangled_dcor,halfcheetah-medium-v2,10,8.0,nonlinear,1,1.825962626668767
disentangled_dcor,halfcheetah-medium-v2,10,8.0,nonlinear,3,1.5017984136849178
disentangled_dcor,halfcheetah-medium-v2,10,8.0,nonlinear,2,2.4288586621809394
disentangled_dcor,halfcheetah-medium-v2,80,0.5,nonlinear,5,38.643925707066245
disentangled_dcor,halfcheetah-medium-v2,80,0.5,nonlinear,1,38.67807063495778
disentangled_dcor,halfcheetah-medium-v2,80,0.5,nonlinear,3,38.612053088347295
disentangled_dcor,halfcheetah-medium-v2,80,0.5,nonlinear,2,38.53921697466939
disentangled_dcor,halfcheetah-medium-v2,80,1.0,nonlinear,5,24.323035270364386
disentangled_dcor,halfcheetah-medium-v2,80,1.0,nonlinear,1,25.86172184677672
disentangled_dcor,halfcheetah-medium-v2,80,1.0,nonlinear,3,25.595387220056843
disentangled_dcor,halfcheetah-medium-v2,80,1.0,nonlinear,2,25.432209391239297
disentangled_dcor,halfcheetah-medium-v2,40,0.5,nonlinear,5,38.47386191503594
disentangled_dcor,halfcheetah-medium-v2,40,0.5,nonlinear,1,38.653959693532585
disentangled_dcor,halfcheetah-medium-v2,40,0.5,nonlinear,3,38.01818440482036
disentangled_dcor,halfcheetah-medium-v2,40,0.5,nonlinear,2,38.20022434121873
disentangled_dcor,halfcheetah-medium-v2,5,8.0,nonlinear,5,3.153031273987403
disentangled_dcor,halfcheetah-medium-v2,5,8.0,nonlinear,1,3.075569905229253
disentangled_dcor,halfcheetah-medium-v2,5,8.0,nonlinear,3,3.032432698330784
disentangled_dcor,halfcheetah-medium-v2,5,8.0,nonlinear,2,4.7080383095827765
disentangled_dcor,halfcheetah-medium-v2,20,1.0,nonlinear,5,31.13135576861845
disentangled_dcor,halfcheetah-medium-v2,20,1.0,nonlinear,1,8.823983120144522
disentangled_dcor,halfcheetah-medium-v2,20,1.0,nonlinear,3,35.716067676697996
disentangled_dcor,halfcheetah-medium-v2,20,1.0,nonlinear,2,33.104523985733685
disentangled_dcor,halfcheetah-medium-v2,80,2.0,nonlinear,5,5.727548999754843
disentangled_dcor,halfcheetah-medium-v2,80,2.0,nonlinear,1,5.35756080633015
disentangled_dcor,halfcheetah-medium-v2,80,2.0,nonlinear,3,6.64020229085886
disentangled_dcor,halfcheetah-medium-v2,80,2.0,nonlinear,2,5.9176762269994985
disentangled_dcor,halfcheetah-medium-v2,40,8.0,nonlinear,5,1.1445760132645488
disentangled_dcor,halfcheetah-medium-v2,40,8.0,nonlinear,1,0.9859921982817478
disentangled_dcor,halfcheetah-medium-v2,40,8.0,nonlinear,3,0.7788643125155915
disentangled_dcor,halfcheetah-medium-v2,40,8.0,nonlinear,2,1.2876100749359527
disentangled_dcor,halfcheetah-medium-v2,40,4.0,nonlinear,5,2.0667804186391714
disentangled_dcor,halfcheetah-medium-v2,40,4.0,nonlinear,1,1.8145238817150429
disentangled_dcor,halfcheetah-medium-v2,40,4.0,nonlinear,3,2.2557646415205963
disentangled_dcor,halfcheetah-medium-v2,40,4.0,nonlinear,2,2.3295225392601258
disentangled_dcor,halfcheetah-medium-v2,5,0.5,nonlinear,5,39.585438811625764
