Method,Env,Dim,Scale,Type,mean,std,n
disentangled_barlow,halfcheetah-medium-v2,5,0.5,nonlinear,39.578602629680184,0.7612291536067114,4
disentangled_barlow,halfcheetah-medium-v2,5,1.0,nonlinear,38.81663785695527,1.4684086459389585,4
disentangled_barlow,halfcheetah-medium-v2,5,2.0,nonlinear,35.148422863293675,1.1275237957429414,4
disentangled_barlow,halfcheetah-medium-v2,5,4.0,nonlinear,15.120804555795269,1.934333765410543,4
disentangled_barlow,halfcheetah-medium-v2,5,8.0,nonlinear,3.533727465792274,0.3790405673233626,4
disentangled_barlow,halfcheetah-medium-v2,10,0.5,nonlinear,38.53844095043921,1.0470535329306256,4
disentangled_barlow,halfcheetah-medium-v2,10,1.0,nonlinear,38.18351704328325,0.6802882456453071,4
disentangled_barlow,halfcheetah-medium-v2,10,2.0,nonlinear,31.129327059809825,1.2599796022590228,4
disentangled_barlow,halfcheetah-medium-v2,10,4.0,nonlinear,5.8527818266437315,0.8877453964590044,4
disentangled_barlow,halfcheetah-medium-v2,10,8.0,nonlinear,1.426791269888657,0.45992353192051694,4
disentangled_barlow,halfcheetah-medium-v2,20,0.5,nonlinear,39.11265045331554,0.6919591264688263,4
disentangled_barlow,halfcheetah-medium-v2,20,1.0,nonlinear,29.888878646667642,14.94394084213434,4
disentangled_barlow,halfcheetah-medium-v2,20,2.0,nonlinear,17.036007959951952,1.7240200207974894,4
disentangled_barlow,halfcheetah-medium-v2,20,4.0,nonlinear,2.9988441873612133,0.19326623264967535,4
disentangled_barlow,halfcheetah-medium-v2,20,8.0,nonlinear,1.2863286833818157,0.2073127360737099,4
disentangled_barlow,halfcheetah-medium-v2,40,0.5,nonlinear,38.84715771087558,0.5168359542704604,4
disentangled_barlow,halfcheetah-medium-v2,40,1.0,nonlinear,31.17787664879382,3.8651954061874947,4
disentangled_barlow,halfcheetah-medium-v2,40,2.0,nonlinear,6.596492816232441,0.7613302694193348,3
disentangled_barlow,halfcheetah-medium-v2,40,4.0,nonlinear,2.475355500198832,0.4115490115263849,3
disentangled_barlow,halfcheetah-medium-v2,40,8.0,nonlinear,1.039987406225738,0.13865162044120646,3
disentangled_barlow,halfcheetah-medium-v2,80,0.5,nonlinear,38.333983809608746,1.2767500589257137,3
disentangled_barlow,halfcheetah-medium-v2,80,1.0,nonlinear,25.461983987279382,1.6926357886563936,3
disentangled_barlow,halfcheetah-medium-v2,80,2.0,nonlinear,4.599972631770212,0.05332324829342237,3
disentangled_barlow,halfcheetah-medium-v2,80,4.0,nonlinear,1.8087116952987665,0.4887128713858471,3
disentangled_barlow,halfcheetah-medium-v2,80,8.0,nonlinear,1.0490652030681389,0.17227976282702712,3
disentangled_cov,halfcheetah-medium-v2,5,0.5,nonlinear,38.82157177126181,1.8513514537307625,4
disentangled_cov,halfcheetah-medium-v2,5,1.0,nonlinear,38.143568009816555,1.2279515193140706,4
disentangled_cov,halfcheetah-medium-v2,5,2.0,nonlinear,35.20913743070701,2.427005485819709,4
disentangled_cov,halfcheetah-medium-v2,5,4.0,nonlinear,15.019783191009438,1.8783647160097539,4
disentangled_cov,halfcheetah-medium-v2,5,8.0,nonlinear,3.8441259349567805,0.5853993054173686,4
disentangled_cov,halfcheetah-medium-v2,10,0.5,nonlinear,38.46111190686679,1.540171114578382,4
disentangled_cov,halfcheetah-medium-v2,10,1.0,nonlinear,38.03178069801316,1.3192976995980727,4
disentangled_cov,halfcheetah-medium-v2,10,2.0,nonlinear,30.104962513521635,1.6799625668138698,4
disentangled_cov,halfcheetah-medium-v2,10,4.0,nonlinear,5.952621582063178,1.646101563798552,4
disentangled_cov,halfcheetah-medium-v2,10,8.0,nonlinear,1.4455396054716754,0.43273824749180523,4
disentangled_cov,halfcheetah-medium-v2,20,0.5,nonlinear,38.80798838788181,0.7244518117309007,4
disentangled_cov,halfcheetah-medium-v2,20,1.0,nonlinear,29.1487247548776,14.340531030821785,4
disentangled_cov,halfcheetah-medium-v2,20,2.0,nonlinear,18.09206756486516,1.6446042824870455,4
disentangled_cov,halfcheetah-medium-v2,20,4.0,nonlinear,3.1997036843134374,0.2677415777579619,4
disentangled_cov,halfcheetah-medium-v2,20,8.0,nonlinear,1.317400724275964,0.1602384537919395,4
disentangled_cov,halfcheetah-medium-v2,40,0.5,nonlinear,38.00825903978198,1.146802344793587,4
disentangled_cov,halfcheetah-medium-v2,40,1.0,nonlinear,30.136690988576447,2.2816039714111804,4
disentangled_cov,halfcheetah-medium-v2,40,2.0,nonlinear,7.451784674582056,0.4489450972183428,4
disentangled_cov,halfcheetah-medium-v2,40,4.0,nonlinear,2.318512584486979,0.2456359896826379,4
disentangled_cov,halfcheetah-medium-v2,40,8.0,nonlinear,1.151738900208488,0.15246034729652627,4
disentangled_cov,halfcheetah-medium-v2,80,0.5,nonlinear,38.99855902719507,0.49770237985287435,4
disentangled_cov,halfcheetah-medium-v2,80,1.0,nonlinear,27.923636189325606,1.367752523293559,4
disentangled_cov,halfcheetah-medium-v2,80,2.0,nonlinear,5.730561807032286,0.8082812755332107,4
disentangled_cov,halfcheetah-medium-v2,80,4.0,nonlinear,2.0931736672900003,0.2699919063864316,4
disentangled_cov,halfcheetah-medium-v2,80,8.0,nonlinear,1.2323237433669132,0.17635059449504403,4
disentangled_dcor,halfcheetah-medium-v2,5,0.5,nonlinear,39.18870742882076,0.8016250754904363,4
disentangled_dcor,halfcheetah-medium-v2,5,1.0,nonlinear,38.4592039258855,0.9526303819180318,4
disentangled_dcor,halfcheetah-medium-v2,5,2.0,nonlinear,36.548958924554086,1.2429048697632026,4
disentangled_dcor,halfcheetah-medium-v2,5,4.0,nonlinear,16.916093905410836,3.053514394000025,4
disentangled_dcor,halfcheetah-medium-v2,5,8.0,nonlinear,3.492268046782554,0.8120477836485418,4
disentangled_dcor,halfcheetah-medium-v2,10,0.5,nonlinear,38.3733358762015,0.5050627633310506,4
disentangled_dcor,halfcheetah-medium-v2,10,1.0,nonlinear,39.02013442603371,0.6279329968949372,4
disentangled_dcor,halfcheetah-medium-v2,10,2.0,nonlinear,30.724045526280275,4.449218436753766,4
disentangled_dcor,halfcheetah-medium-v2,10,4.0,nonlinear,5.765624757548666,0.9109862941427367,4
disentangled_dcor,halfcheetah-medium-v2,10,8.0,nonlinear,1.843041280936233,0.412986983347066,4
disentangled_dcor,halfcheetah-medium-v2,20,0.5,nonlinear,38.78273283862668,1.2035922911122299,4
disentangled_dcor,halfcheetah-medium-v2,20,1.0,nonlinear,27.193982637798662,12.38978372000895,4
disentangled_dcor,halfcheetah-medium-v2,20,2.0,nonlinear,18.079495904287054,2.215548746879747,4
disentangled_dcor,halfcheetah-medium-v2,20,4.0,nonlinear,2.9490670969185944,0.22890348322792428,4
disentangled_dcor,halfcheetah-medium-v2,20,8.0,nonlinear,1.4193467124635184,0.2004309797263623,4
disentangled_dcor,halfcheetah-medium-v2,40,0.5,nonlinear,38.3365575886519,0.28257436352529064,4
disentangled_dcor,halfcheetah-medium-v2,40,1.0,nonlinear,32.37757527720176,2.0510936753874973,4
disentangled_dcor,halfcheetah-medium-v2,40,2.0,nonlinear,8.371268043257654,0.4014239845990351,4
disentangled_dcor,halfcheetah-medium-v2,40,4.0,nonlinear,2.116647870283734,0.22980772247928996,4
disentangled_dcor,halfcheetah-medium-v2,40,8.0,nonlinear,1.0492606497494603,0.21833654690970328,4
disentangled_dcor,halfcheetah-medium-v2,80,0.5,nonlinear,38.618316601260176,0.05922373782004674,4
disentangled_dcor,halfcheetah-medium-v2,80,1.0,nonlinear,25.303088432109313,0.6769259672350795,4
disentangled_dcor,halfcheetah-medium-v2,80,2.0,nonlinear,5.910747080985837,0.5390514841551252,4
disentangled_dcor,halfcheetah-medium-v2,80,4.0,nonlinear,2.1233146321952905,0.30019928567443044,4
disentangled_dcor,halfcheetah-medium-v2,80,8.0,nonlinear,1.291395775951744,0.1265578476600528,4
disentangled_hsic,halfcheetah-medium-v2,5,0.5,nonlinear,39.487556647997536,0.9369959136170473,4
disentangled_hsic,halfcheetah-medium-v2,5,1.0,nonlinear,39.73959842986394,0.30517350402272847,4
disentangled_hsic,halfcheetah-medium-v2,5,2.0,nonlinear,36.280086059133254,2.6210476487490473,4
disentangled_hsic,halfcheetah-medium-v2,5,4.0,nonlinear,17.26417807225155,1.710610186589043,4
disentangled_hsic,halfcheetah-medium-v2,5,8.0,nonlinear,3.799899209661294,0.7683010075411928,4
disentangled_hsic,halfcheetah-medium-v2,10,0.5,nonlinear,38.80865915212318,0.7849085461913564,4
disentangled_hsic,halfcheetah-medium-v2,10,1.0,nonlinear,37.865957797205354,0.9710315779457638,4
disentangled_hsic,halfcheetah-medium-v2,10,2.0,nonlinear,32.47734194155823,1.1628762737425076,4
disentangled_hsic,halfcheetah-medium-v2,10,4.0,nonlinear,5.296099939002026,0.5728015265806967,4
disentangled_hsic,halfcheetah-medium-v2,10,8.0,nonlinear,1.994853303619732,0.3618384046505201,4
disentangled_hsic,halfcheetah-medium-v2,20,0.5,nonlinear,39.6083194140337,1.082871270488799,4
disentangled_hsic,halfcheetah-medium-v2,20,1.0,nonlinear,28.367854628263306,13.829798216332046,4
disentangled_hsic,halfcheetah-medium-v2,20,2.0,nonlinear,17.29054551724252,2.089783542239305,4
disentangled_hsic,halfcheetah-medium-v2,20,4.0,nonlinear,3.0270550192882513,0.2694065352153425,4
disentangled_hsic,halfcheetah-medium-v2,20,8.0,nonlinear,1.3917573361069313,0.13799157407721832,4
disentangled_hsic,halfcheetah-medium-v2,40,0.5,nonlinear,35.90673070366734,1.1915863823757942,4
disentangled_hsic,halfcheetah-medium-v2,40,1.0,nonlinear,29.333299246472812,1.5969994730658708,4
disentangled_hsic,halfcheetah-medium-v2,40,2.0,nonlinear,7.9341106856486325,1.0794614972857761,4
disentangled_hsic,halfcheetah-medium-v2,40,4.0,nonlinear,2.377789975896018,0.24208797581595265,4
disentangled_hsic,halfcheetah-medium-v2,40,8.0,nonlinear,1.3375294850884147,0.2782541981660907,4
disentangled_hsic,halfcheetah-medium-v2,80,0.5,nonlinear,39.17979504056764,0.4265885138743072,4
disentangled_hsic,halfcheetah-medium-v2,80,1.0,nonlinear,27.440296701062483,2.395869386106297,4
disentangled_hsic,halfcheetah-medium-v2,80,2.0,nonlinear,6.149235745834737,0.5699876023965271,4
disentangled_hsic,halfcheetah-medium-v2,80,4.0,nonlinear,1.9672783584504558,0.13210792334460977,4
disentangled_hsic,halfcheetah-medium-v2,80,8.0,nonlinear,1.0650869655102424,0.1311545898295116,4
disentangled_infonce,halfcheetah-medium-v2,5,0.5,nonlinear,38.86931942160282,0.9014304327230801,4
disentangled_infonce,halfcheetah-medium-v2,5,1.0,nonlinear,38.545970474214926,0.8600148684012013,4
disentangled_infonce,halfcheetah-medium-v2,5,2.0,nonlinear,33.357052074263024,1.9863560164131042,4
disentangled_infonce,halfcheetah-medium-v2,5,4.0,nonlinear,14.509709416094655,3.7884301308458666,4
disentangled_infonce,halfcheetah-medium-v2,5,8.0,nonlinear,3.651027581865549,0.9062443211180106,4
disentangled_infonce,halfcheetah-medium-v2,10,0.5,nonlinear,36.986472136017824,1.87282717453526,4
disentangled_infonce,halfcheetah-medium-v2,10,1.0,nonlinear,38.059761228820314,0.9863827336598783,4
disentangled_infonce,halfcheetah-medium-v2,10,2.0,nonlinear,29.753309408708233,1.2385562967707626,4
disentangled_infonce,halfcheetah-medium-v2,10,4.0,nonlinear,5.731311086405871,1.3713835877310177,4
disentangled_infonce,halfcheetah-medium-v2,10,8.0,nonlinear,1.7925113021293448,0.3891336753492642,4
disentangled_infonce,halfcheetah-medium-v2,20,0.5,nonlinear,38.42497993961725,0.9663332776716643,4
disentangled_infonce,halfcheetah-medium-v2,20,1.0,nonlinear,27.37364493172018,14.41571068471101,4
disentangled_infonce,halfcheetah-medium-v2,20,2.0,nonlinear,14.673974984347506,3.0073604227599526,4
disentangled_infonce,halfcheetah-medium-v2,20,4.0,nonlinear,2.810084406316737,0.2695672927598119,4
disentangled_infonce,halfcheetah-medium-v2,20,8.0,nonlinear,1.5288968059430545,0.09619580313444774,4
disentangled_infonce,halfcheetah-medium-v2,40,0.5,nonlinear,36.56779148744459,1.4674173933479486,4
disentangled_infonce,halfcheetah-medium-v2,40,1.0,nonlinear,29.225729733072328,1.5052612243775334,4
disentangled_infonce,halfcheetah-medium-v2,40,2.0,nonlinear,7.33707913790803,1.3165064812922822,4
disentangled_infonce,halfcheetah-medium-v2,40,4.0,nonlinear,2.3587848811146217,0.16663140820101088,4
disentangled_infonce,halfcheetah-medium-v2,40,8.0,nonlinear,1.2015454298723296,0.28305359517389894,4
disentangled_infonce,halfcheetah-medium-v2,80,0.5,nonlinear,38.13586451714532,0.9248950916209723,4
disentangled_infonce,halfcheetah-medium-v2,80,1.0,nonlinear,25.783334625466445,2.0536833072266685,4
disentangled_infonce,halfcheetah-medium-v2,80,2.0,nonlinear,5.439390343210651,0.3209589258550448,4
disentangled_infonce,halfcheetah-medium-v2,80,4.0,nonlinear,1.9735634642278517,0.16843675307284553,4
disentangled_infonce,halfcheetah-medium-v2,80,8.0,nonlinear,1.270846771497273,0.14742557867587522,4
disentangled_l1,halfcheetah-medium-v2,5,0.5,nonlinear,38.61831407812488,0.5224597603874575,4
disentangled_l1,halfcheetah-medium-v2,5,1.0,nonlinear,38.05653686356659,1.465535322964391,4
disentangled_l1,halfcheetah-medium-v2,5,2.0,nonlinear,33.18397876512274,1.9267170072441542,4
disentangled_l1,halfcheetah-medium-v2,5,4.0,nonlinear,12.890034387844961,5.033375724207252,4
disentangled_l1,halfcheetah-medium-v2,5,8.0,nonlinear,3.4744684485491533,0.48105010617933974,4
disentangled_l1,halfcheetah-medium-v2,10,0.5,nonlinear,38.016725531890074,0.8957045744634631,4
disentangled_l1,halfcheetah-medium-v2,10,1.0,nonlinear,36.79028938359495,1.0052017925813272,4
