Method,Env,Dim,Scale,Type,mean,std,n
disentangled_barlow,halfcheetah-medium-v2,17,1.0,project,40.4236396047356,0.2890726345449473,3
disentangled_barlow,halfcheetah-medium-v2,17,2.0,project,40.5542646414455,0.47120872705312694,3
disentangled_barlow,halfcheetah-medium-v2,34,1.0,project,40.52022636785773,0.6102077530565705,3
disentangled_barlow,halfcheetah-medium-v2,34,2.0,project,40.450730808760774,0.3826202486491262,3
disentangled_cov,halfcheetah-medium-v2,17,1.0,project,40.44199782512081,0.11806908369089894,3
disentangled_cov,halfcheetah-medium-v2,17,2.0,project,40.24313161237625,0.266427536630383,3
disentangled_cov,halfcheetah-medium-v2,34,1.0,project,39.669427800423925,0.93421250895181,3
disentangled_cov,halfcheetah-medium-v2,34,2.0,project,40.38817401897404,0.36185995061357584,3
disentangled_dcor,halfcheetah-medium-v2,17,1.0,project,39.91154909729639,0.4819904810696882,3
disentangled_dcor,halfcheetah-medium-v2,17,2.0,project,40.15432399378099,0.501175047276609,3
disentangled_dcor,halfcheetah-medium-v2,34,1.0,project,40.512771129527174,0.618876023199086,3
disentangled_dcor,halfcheetah-medium-v2,34,2.0,project,40.37457509027448,1.1965525268326116,3
disentangled_hsic,halfcheetah-medium-v2,17,1.0,project,39.805084222236815,0.9560911346052274,3
disentangled_hsic,halfcheetah-medium-v2,17,2.0,project,40.42482553293111,0.2665154695601017,3
disentangled_hsic,halfcheetah-medium-v2,34,1.0,project,38.413275233451394,0.5443949258405271,3
disentangled_hsic,halfcheetah-medium-v2,34,2.0,project,39.32471950206217,0.7535729433739673,3
disentangled_infonce,halfcheetah-medium-v2,17,1.0,project,38.558333364519086,0.5537223544714293,3
disentangled_infonce,halfcheetah-medium-v2,17,2.0,project,39.98892221325596,0.5007271408893778,3
disentangled_infonce,halfcheetah-medium-v2,34,1.0,project,39.93532398118211,0.9185858385102545,3
disentangled_infonce,halfcheetah-medium-v2,34,2.0,project,40.239133168552854,0.4762844159924789,3
disentangled_l1,halfcheetah-medium-v2,17,1.0,project,39.616227524624314,0.5934388819259195,3
disentangled_l1,halfcheetah-medium-v2,17,2.0,project,38.84573292223174,0.25040642267419855,3
disentangled_l1,halfcheetah-medium-v2,34,1.0,project,35.880270043844334,1.223699930593167,3
disentangled_l1,halfcheetah-medium-v2,34,2.0,project,33.925218973539444,1.8313178116043294,3
plain,halfcheetah-medium-v2,17,1.0,project,40.31639864559597,0.8212264412234513,3
plain,halfcheetah-medium-v2,17,2.0,project,40.59723920234631,0.3715605798792398,3
plain,halfcheetah-medium-v2,34,1.0,project,39.95729603586983,2.1700371740949853,3
plain,halfcheetah-medium-v2,34,2.0,project,40.88295362755011,0.8051217822215219,3
raw_noisy,halfcheetah-medium-v2,17,1.0,project,39.97515097865426,0.2675394988536422,3
raw_noisy,halfcheetah-medium-v2,17,2.0,project,40.046789129304706,0.8599831915130625,3
raw_noisy,halfcheetah-medium-v2,34,1.0,project,39.52117953019428,0.150485723448527,3
raw_noisy,halfcheetah-medium-v2,34,2.0,project,40.53731958982069,0.1516136759209515,3
