Method,Env,Dim,Scale,Type,Seed,Score
disentangled_dcor,hopper-medium-v2,11,0.5,nonlinear,1,49.60916337167021
disentangled_dcor,hopper-medium-v2,11,0.5,nonlinear,3,31.928333053033924
disentangled_dcor,hopper-medium-v2,11,0.5,nonlinear,2,46.42812029529427
disentangled_dcor,hopper-medium-v2,8,1.5,nonlinear,1,50.70778429535022
disentangled_dcor,hopper-medium-v2,8,1.5,nonlinear,3,56.729080070125036
disentangled_dcor,hopper-medium-v2,8,1.5,nonlinear,2,42.03221803548798
disentangled_dcor,hopper-medium-v2,11,1.0,nonlinear,1,42.65154146183298
disentangled_dcor,hopper-medium-v2,11,1.0,nonlinear,3,41.58566040244275
disentangled_dcor,hopper-medium-v2,11,1.0,nonlinear,2,46.17875543291791
disentangled_dcor,hopper-medium-v2,6,2.0,nonlinear,1,44.90653615593447
disentangled_dcor,hopper-medium-v2,6,2.0,nonlinear,3,44.112391425253975
disentangled_dcor,hopper-medium-v2,6,2.0,nonlinear,2,43.04220212737782
disentangled_dcor,hopper-medium-v2,8,1.0,nonlinear,1,47.9240775740285
disentangled_dcor,hopper-medium-v2,8,1.0,nonlinear,3,49.96286747298103
disentangled_dcor,hopper-medium-v2,8,1.0,nonlinear,2,44.20495219677665
disentangled_dcor,hopper-medium-v2,3,1.0,nonlinear,1,42.25225536478706
disentangled_dcor,hopper-medium-v2,3,1.0,nonlinear,3,45.04890175094606
disentangled_dcor,hopper-medium-v2,3,1.0,nonlinear,2,48.399192517013226
disentangled_dcor,hopper-medium-v2,3,1.5,nonlinear,1,40.572110839116945
disentangled_dcor,hopper-medium-v2,3,1.5,nonlinear,3,55.315804371216394
disentangled_dcor,hopper-medium-v2,3,1.5,nonlinear,2,48.5360315232532
disentangled_dcor,hopper-medium-v2,6,1.0,nonlinear,1,45.183092797835414
disentangled_dcor,hopper-medium-v2,6,1.0,nonlinear,3,47.1419929712835
disentangled_dcor,hopper-medium-v2,6,1.0,nonlinear,2,49.01632975667867
disentangled_dcor,hopper-medium-v2,8,2.0,nonlinear,1,46.194135027641714
disentangled_dcor,hopper-medium-v2,8,2.0,nonlinear,3,48.46515014445609
disentangled_dcor,hopper-medium-v2,8,2.0,nonlinear,2,39.69850187040734
disentangled_dcor,hopper-medium-v2,3,2.0,nonlinear,1,47.84593841374216
disentangled_dcor,hopper-medium-v2,3,2.0,nonlinear,3,44.93464280328106
disentangled_dcor,hopper-medium-v2,3,2.0,nonlinear,2,45.79688390669373
disentangled_dcor,hopper-medium-v2,6,1.5,nonlinear,1,34.8357975449142
disentangled_dcor,hopper-medium-v2,6,1.5,nonlinear,3,46.52003479787326
disentangled_dcor,hopper-medium-v2,6,1.5,nonlinear,2,46.196375910133916
disentangled_dcor,hopper-medium-v2,11,1.5,nonlinear,1,44.22642077009332
disentangled_dcor,hopper-medium-v2,11,1.5,nonlinear,3,39.09774869652758
disentangled_dcor,hopper-medium-v2,11,1.5,nonlinear,2,44.76500723377248
disentangled_dcor,hopper-medium-v2,11,2.0,nonlinear,1,32.50631015627954
disentangled_dcor,hopper-medium-v2,11,2.0,nonlinear,3,40.25865079391624
disentangled_dcor,hopper-medium-v2,11,2.0,nonlinear,2,38.40808613055168
disentangled_dcor,hopper-medium-v2,3,0.5,nonlinear,1,45.53569129776066
disentangled_dcor,hopper-medium-v2,3,0.5,nonlinear,3,43.8583885118717
disentangled_dcor,hopper-medium-v2,3,0.5,nonlinear,2,59.733864884142854
disentangled_dcor,hopper-medium-v2,6,0.5,nonlinear,1,45.94864262794534
disentangled_dcor,hopper-medium-v2,6,0.5,nonlinear,3,49.06220072440641
disentangled_dcor,hopper-medium-v2,6,0.5,nonlinear,2,45.279319805312234
disentangled_dcor,hopper-medium-v2,8,0.5,nonlinear,1,49.94337076588914
disentangled_dcor,hopper-medium-v2,8,0.5,nonlinear,3,47.482745080262255
disentangled_dcor,hopper-medium-v2,8,0.5,nonlinear,2,48.0908318799077
plain,hopper-medium-v2,11,0.5,nonlinear,1,43.82791263665331
plain,hopper-medium-v2,11,0.5,nonlinear,3,44.15098091094916
plain,hopper-medium-v2,11,0.5,nonlinear,2,44.69881036531475
plain,hopper-medium-v2,8,1.5,nonlinear,1,46.732639738516326
plain,hopper-medium-v2,8,1.5,nonlinear,3,37.666797873184045
plain,hopper-medium-v2,8,1.5,nonlinear,2,43.272654564609944
plain,hopper-medium-v2,11,1.0,nonlinear,1,35.81244538639749
plain,hopper-medium-v2,11,1.0,nonlinear,3,43.423627752354236
plain,hopper-medium-v2,11,1.0,nonlinear,2,39.168627140635856
plain,hopper-medium-v2,6,2.0,nonlinear,1,39.78833250501998
plain,hopper-medium-v2,6,2.0,nonlinear,3,42.03962044391726
plain,hopper-medium-v2,6,2.0,nonlinear,2,39.11119757761836
plain,hopper-medium-v2,8,1.0,nonlinear,1,46.283558350116735
plain,hopper-medium-v2,8,1.0,nonlinear,3,40.20758510166409
plain,hopper-medium-v2,8,1.0,nonlinear,2,39.3149009649825
plain,hopper-medium-v2,3,1.0,nonlinear,1,45.97646742881522
plain,hopper-medium-v2,3,1.0,nonlinear,3,44.96821825545559
plain,hopper-medium-v2,3,1.0,nonlinear,2,47.46776079179066
plain,hopper-medium-v2,3,1.5,nonlinear,1,45.05502130134478
plain,hopper-medium-v2,3,1.5,nonlinear,3,42.12135542506283
plain,hopper-medium-v2,3,1.5,nonlinear,2,42.635835694343434
plain,hopper-medium-v2,6,1.0,nonlinear,1,44.47235495558742
plain,hopper-medium-v2,6,1.0,nonlinear,3,46.62900331258895
plain,hopper-medium-v2,6,1.0,nonlinear,2,42.93593789311321
plain,hopper-medium-v2,8,2.0,nonlinear,1,39.40531857228511
plain,hopper-medium-v2,8,2.0,nonlinear,3,45.42699418256736
plain,hopper-medium-v2,8,2.0,nonlinear,2,33.030793570812065
plain,hopper-medium-v2,3,2.0,nonlinear,1,40.570178926286864
plain,hopper-medium-v2,3,2.0,nonlinear,3,37.02115074343679
plain,hopper-medium-v2,3,2.0,nonlinear,2,47.38370141259571
