Method,Env,Dim,Scale,Type,Seed,Score,Source
plain,ant-medium-v2,56,1.5,nonlinear,1,44.442665073500955,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd56_ns1p5_nonlinear/seed_1/metrics.json
plain,ant-medium-v2,56,1.5,nonlinear,3,47.305964816463906,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd56_ns1p5_nonlinear/seed_3/metrics.json
plain,ant-medium-v2,56,1.5,nonlinear,2,52.59818561006886,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd56_ns1p5_nonlinear/seed_2/metrics.json
plain,ant-medium-v2,83,1.0,nonlinear,1,69.38180608080413,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd83_ns1p0_nonlinear/seed_1/metrics.json
plain,ant-medium-v2,83,1.0,nonlinear,3,62.27204697637478,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd83_ns1p0_nonlinear/seed_3/metrics.json
plain,ant-medium-v2,83,1.0,nonlinear,2,61.17712330558239,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd83_ns1p0_nonlinear/seed_2/metrics.json
plain,ant-medium-v2,111,1.0,nonlinear,1,72.84977997788393,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd111_ns1p0_nonlinear/seed_1/metrics.json
plain,ant-medium-v2,111,1.0,nonlinear,3,59.57527279100948,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd111_ns1p0_nonlinear/seed_3/metrics.json
plain,ant-medium-v2,111,1.0,nonlinear,2,59.069374043205954,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd111_ns1p0_nonlinear/seed_2/metrics.json
plain,ant-medium-v2,28,1.0,nonlinear,1,75.3421897521499,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd28_ns1p0_nonlinear/seed_1/metrics.json
plain,ant-medium-v2,28,1.0,nonlinear,3,68.1583985588866,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd28_ns1p0_nonlinear/seed_3/metrics.json
plain,ant-medium-v2,28,1.0,nonlinear,2,83.93994851187142,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd28_ns1p0_nonlinear/seed_2/metrics.json
plain,ant-medium-v2,56,0.5,nonlinear,1,81.64987443357286,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd56_ns0p5_nonlinear/seed_1/metrics.json
plain,ant-medium-v2,56,0.5,nonlinear,3,79.43715914642333,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd56_ns0p5_nonlinear/seed_3/metrics.json
plain,ant-medium-v2,56,0.5,nonlinear,2,83.51363351531981,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd56_ns0p5_nonlinear/seed_2/metrics.json
plain,ant-medium-v2,111,0.5,nonlinear,1,83.89611271870328,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd111_ns0p5_nonlinear/seed_1/metrics.json
plain,ant-medium-v2,111,0.5,nonlinear,3,80.675745515209,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd111_ns0p5_nonlinear/seed_3/metrics.json
plain,ant-medium-v2,111,0.5,nonlinear,2,85.91492820198755,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd111_ns0p5_nonlinear/seed_2/metrics.json
plain,ant-medium-v2,28,1.5,nonlinear,1,47.67777362798638,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd28_ns1p5_nonlinear/seed_1/metrics.json
plain,ant-medium-v2,28,1.5,nonlinear,3,64.74767693157636,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd28_ns1p5_nonlinear/seed_3/metrics.json
plain,ant-medium-v2,28,1.5,nonlinear,2,65.86862769119439,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd28_ns1p5_nonlinear/seed_2/metrics.json
plain,ant-medium-v2,83,2.0,nonlinear,1,28.960559458380068,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd83_ns2p0_nonlinear/seed_1/metrics.json
plain,ant-medium-v2,83,2.0,nonlinear,3,30.36497049717073,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd83_ns2p0_nonlinear/seed_3/metrics.json
plain,ant-medium-v2,83,2.0,nonlinear,2,23.71438603527031,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd83_ns2p0_nonlinear/seed_2/metrics.json
plain,ant-medium-v2,111,1.5,nonlinear,1,34.83905141188517,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd111_ns1p5_nonlinear/seed_1/metrics.json
plain,ant-medium-v2,111,1.5,nonlinear,3,28.956264223229084,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd111_ns1p5_nonlinear/seed_3/metrics.json
plain,ant-medium-v2,111,1.5,nonlinear,2,36.05361259277162,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd111_ns1p5_nonlinear/seed_2/metrics.json
plain,ant-medium-v2,28,2.0,nonlinear,1,52.63687467494316,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd28_ns2p0_nonlinear/seed_1/metrics.json
plain,ant-medium-v2,28,2.0,nonlinear,3,65.46966663413146,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd28_ns2p0_nonlinear/seed_3/metrics.json
plain,ant-medium-v2,28,2.0,nonlinear,2,65.8015572430022,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd28_ns2p0_nonlinear/seed_2/metrics.json
plain,ant-medium-v2,28,0.5,nonlinear,1,65.3131839024438,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd28_ns0p5_nonlinear/seed_1/metrics.json
plain,ant-medium-v2,28,0.5,nonlinear,3,73.46017161117335,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd28_ns0p5_nonlinear/seed_3/metrics.json
plain,ant-medium-v2,28,0.5,nonlinear,2,73.82196204060692,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd28_ns0p5_nonlinear/seed_2/metrics.json
plain,ant-medium-v2,83,0.5,nonlinear,1,87.9011352743656,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd83_ns0p5_nonlinear/seed_1/metrics.json
plain,ant-medium-v2,83,0.5,nonlinear,3,75.76806082306075,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd83_ns0p5_nonlinear/seed_3/metrics.json
plain,ant-medium-v2,83,0.5,nonlinear,2,72.96063101964377,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd83_ns0p5_nonlinear/seed_2/metrics.json
plain,ant-medium-v2,111,2.0,nonlinear,1,19.886801744957204,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd111_ns2p0_nonlinear/seed_1/metrics.json
plain,ant-medium-v2,111,2.0,nonlinear,3,21.561930437907332,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd111_ns2p0_nonlinear/seed_3/metrics.json
plain,ant-medium-v2,111,2.0,nonlinear,2,24.043699451580807,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd111_ns2p0_nonlinear/seed_2/metrics.json
plain,ant-medium-v2,56,2.0,nonlinear,1,37.01162275350012,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd56_ns2p0_nonlinear/seed_1/metrics.json
plain,ant-medium-v2,56,2.0,nonlinear,3,49.34214589581136,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd56_ns2p0_nonlinear/seed_3/metrics.json
plain,ant-medium-v2,56,2.0,nonlinear,2,40.49264058306559,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd56_ns2p0_nonlinear/seed_2/metrics.json
plain,ant-medium-v2,56,1.0,nonlinear,1,67.31998368384762,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd56_ns1p0_nonlinear/seed_1/metrics.json
plain,ant-medium-v2,56,1.0,nonlinear,3,61.81313259554043,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd56_ns1p0_nonlinear/seed_3/metrics.json
plain,ant-medium-v2,56,1.0,nonlinear,2,75.23236503195635,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd56_ns1p0_nonlinear/seed_2/metrics.json
plain,ant-medium-v2,83,1.5,nonlinear,1,52.39082938133869,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd83_ns1p5_nonlinear/seed_1/metrics.json
plain,ant-medium-v2,83,1.5,nonlinear,3,38.78803200866166,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd83_ns1p5_nonlinear/seed_3/metrics.json
plain,ant-medium-v2,83,1.5,nonlinear,2,31.983857562867477,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/ant-medium-v2/nd83_ns1p5_nonlinear/seed_2/metrics.json
raw_noisy,ant-medium-v2,56,1.5,nonlinear,1,59.71936112714854,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/ant-medium-v2/nd56_ns1p5_nonlinear/seed_1/metrics.json
raw_noisy,ant-medium-v2,56,1.5,nonlinear,3,58.74149639076482,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/ant-medium-v2/nd56_ns1p5_nonlinear/seed_3/metrics.json
raw_noisy,ant-medium-v2,56,1.5,nonlinear,2,47.68105130713417,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/ant-medium-v2/nd56_ns1p5_nonlinear/seed_2/metrics.json
raw_noisy,ant-medium-v2,83,1.0,nonlinear,1,72.02927727764856,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/ant-medium-v2/nd83_ns1p0_nonlinear/seed_1/metrics.json
raw_noisy,ant-medium-v2,83,1.0,nonlinear,3,71.94830932810096,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/ant-medium-v2/nd83_ns1p0_nonlinear/seed_3/metrics.json
raw_noisy,ant-medium-v2,83,1.0,nonlinear,2,88.37559474039426,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/ant-medium-v2/nd83_ns1p0_nonlinear/seed_2/metrics.json
raw_noisy,ant-medium-v2,111,1.0,nonlinear,1,66.86010107872681,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/ant-medium-v2/nd111_ns1p0_nonlinear/seed_1/metrics.json
raw_noisy,ant-medium-v2,111,1.0,nonlinear,3,60.578771578264735,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/ant-medium-v2/nd111_ns1p0_nonlinear/seed_3/metrics.json
raw_noisy,ant-medium-v2,111,1.0,nonlinear,2,74.7347355895887,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/ant-medium-v2/nd111_ns1p0_nonlinear/seed_2/metrics.json
raw_noisy,ant-medium-v2,28,1.0,nonlinear,1,72.95885122486054,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/ant-medium-v2/nd28_ns1p0_nonlinear/seed_1/metrics.json
raw_noisy,ant-medium-v2,28,1.0,nonlinear,3,75.66652222608653,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/ant-medium-v2/nd28_ns1p0_nonlinear/seed_3/metrics.json
raw_noisy,ant-medium-v2,28,1.0,nonlinear,2,60.44912044939929,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/ant-medium-v2/nd28_ns1p0_nonlinear/seed_2/metrics.json
raw_noisy,ant-medium-v2,56,0.5,nonlinear,1,70.4149877134883,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/ant-medium-v2/nd56_ns0p5_nonlinear/seed_1/metrics.json
raw_noisy,ant-medium-v2,56,0.5,nonlinear,3,82.86948882784489,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/ant-medium-v2/nd56_ns0p5_nonlinear/seed_3/metrics.json
raw_noisy,ant-medium-v2,56,0.5,nonlinear,2,85.15978595687673,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/ant-medium-v2/nd56_ns0p5_nonlinear/seed_2/metrics.json
raw_noisy,ant-medium-v2,111,0.5,nonlinear,1,50.047555725688774,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/ant-medium-v2/nd111_ns0p5_nonlinear/seed_1/metrics.json
raw_noisy,ant-medium-v2,111,0.5,nonlinear,3,75.94110918941814,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/ant-medium-v2/nd111_ns0p5_nonlinear/seed_3/metrics.json
raw_noisy,ant-medium-v2,111,0.5,nonlinear,2,84.94120490954369,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/ant-medium-v2/nd111_ns0p5_nonlinear/seed_2/metrics.json
raw_noisy,ant-medium-v2,28,1.5,nonlinear,1,67.87068754240805,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/ant-medium-v2/nd28_ns1p5_nonlinear/seed_1/metrics.json
raw_noisy,ant-medium-v2,28,1.5,nonlinear,3,76.01419220699341,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/ant-medium-v2/nd28_ns1p5_nonlinear/seed_3/metrics.json
raw_noisy,ant-medium-v2,28,1.5,nonlinear,2,62.344335915190285,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/ant-medium-v2/nd28_ns1p5_nonlinear/seed_2/metrics.json
raw_noisy,ant-medium-v2,83,2.0,nonlinear,1,40.273317215774554,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/ant-medium-v2/nd83_ns2p0_nonlinear/seed_1/metrics.json
raw_noisy,ant-medium-v2,83,2.0,nonlinear,3,38.56743163335194,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/ant-medium-v2/nd83_ns2p0_nonlinear/seed_3/metrics.json
raw_noisy,ant-medium-v2,83,2.0,nonlinear,2,37.77580161914741,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/ant-medium-v2/nd83_ns2p0_nonlinear/seed_2/metrics.json
raw_noisy,ant-medium-v2,111,1.5,nonlinear,1,32.31065451920301,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/ant-medium-v2/nd111_ns1p5_nonlinear/seed_1/metrics.json
raw_noisy,ant-medium-v2,111,1.5,nonlinear,3,50.33455377096042,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/ant-medium-v2/nd111_ns1p5_nonlinear/seed_3/metrics.json
raw_noisy,ant-medium-v2,111,1.5,nonlinear,2,43.14492872119688,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/ant-medium-v2/nd111_ns1p5_nonlinear/seed_2/metrics.json
raw_noisy,ant-medium-v2,28,2.0,nonlinear,1,63.458022396261306,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/ant-medium-v2/nd28_ns2p0_nonlinear/seed_1/metrics.json
raw_noisy,ant-medium-v2,28,2.0,nonlinear,3,55.63315953869032,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/ant-medium-v2/nd28_ns2p0_nonlinear/seed_3/metrics.json
raw_noisy,ant-medium-v2,28,2.0,nonlinear,2,68.40764914085608,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/ant-medium-v2/nd28_ns2p0_nonlinear/seed_2/metrics.json
raw_noisy,ant-medium-v2,28,0.5,nonlinear,1,81.71872917557826,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/ant-medium-v2/nd28_ns0p5_nonlinear/seed_1/metrics.json
raw_noisy,ant-medium-v2,28,0.5,nonlinear,3,78.91421717537861,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/ant-medium-v2/nd28_ns0p5_nonlinear/seed_3/metrics.json
raw_noisy,ant-medium-v2,28,0.5,nonlinear,2,72.81844697085347,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/ant-medium-v2/nd28_ns0p5_nonlinear/seed_2/metrics.json
