Method,Env,Dim,Scale,Type,Seed,Score,Source
disentangled_barlow,halfcheetah-medium-v2,10,1.0,concat,1,41.12887521914273,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_barlow/halfcheetah-medium-v2/nd10_ns1p0_concat/seed_1/metrics.json
disentangled_barlow,halfcheetah-medium-v2,10,2.0,concat,1,40.63790099474666,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_barlow/halfcheetah-medium-v2/nd10_ns2p0_concat/seed_1/metrics.json
disentangled_barlow,halfcheetah-medium-v2,10,4.0,concat,1,40.204615215976666,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_barlow/halfcheetah-medium-v2/nd10_ns4p0_concat/seed_1/metrics.json
disentangled_barlow,halfcheetah-medium-v2,20,1.0,concat,1,40.2447684195901,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_barlow/halfcheetah-medium-v2/nd20_ns1p0_concat/seed_1/metrics.json
disentangled_barlow,halfcheetah-medium-v2,20,2.0,concat,1,41.06072289506948,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_barlow/halfcheetah-medium-v2/nd20_ns2p0_concat/seed_1/metrics.json
disentangled_barlow,halfcheetah-medium-v2,20,4.0,concat,1,40.61600874193092,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_barlow/halfcheetah-medium-v2/nd20_ns4p0_concat/seed_1/metrics.json
disentangled_barlow,halfcheetah-medium-v2,40,1.0,concat,1,39.42458324489394,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_barlow/halfcheetah-medium-v2/nd40_ns1p0_concat/seed_1/metrics.json
disentangled_barlow,halfcheetah-medium-v2,40,2.0,concat,1,40.93912146262402,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_barlow/halfcheetah-medium-v2/nd40_ns2p0_concat/seed_1/metrics.json
disentangled_barlow,halfcheetah-medium-v2,40,4.0,concat,1,40.14141784144737,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_barlow/halfcheetah-medium-v2/nd40_ns4p0_concat/seed_1/metrics.json
disentangled_barlow,halfcheetah-medium-v2,5,1.0,concat,1,40.11172114119558,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_barlow/halfcheetah-medium-v2/nd5_ns1p0_concat/seed_1/metrics.json
