Method,Env,Dim,Scale,Type,Seed,Score,Source
disentangled_barlow,halfcheetah-medium-v2,10,1.0,project,1,40.41766148886704,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_barlow/halfcheetah-medium-v2/nd10_ns1p0_project/seed_1/metrics.json
disentangled_barlow,halfcheetah-medium-v2,10,2.0,project,1,40.12291397982424,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_barlow/halfcheetah-medium-v2/nd10_ns2p0_project/seed_1/metrics.json
disentangled_barlow,halfcheetah-medium-v2,10,4.0,project,1,40.038003311293316,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_barlow/halfcheetah-medium-v2/nd10_ns4p0_project/seed_1/metrics.json
disentangled_barlow,halfcheetah-medium-v2,20,1.0,project,1,40.27946711078551,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_barlow/halfcheetah-medium-v2/nd20_ns1p0_project/seed_1/metrics.json
disentangled_barlow,halfcheetah-medium-v2,20,2.0,project,1,38.90066185904422,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_barlow/halfcheetah-medium-v2/nd20_ns2p0_project/seed_1/metrics.json
disentangled_barlow,halfcheetah-medium-v2,20,4.0,project,1,40.73645876666113,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_barlow/halfcheetah-medium-v2/nd20_ns4p0_project/seed_1/metrics.json
disentangled_barlow,halfcheetah-medium-v2,40,1.0,project,1,40.59957531535058,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_barlow/halfcheetah-medium-v2/nd40_ns1p0_project/seed_1/metrics.json
disentangled_barlow,halfcheetah-medium-v2,40,2.0,project,1,40.74868923727708,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_barlow/halfcheetah-medium-v2/nd40_ns2p0_project/seed_1/metrics.json
disentangled_barlow,halfcheetah-medium-v2,40,4.0,project,1,40.18624190537608,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_barlow/halfcheetah-medium-v2/nd40_ns4p0_project/seed_1/metrics.json
disentangled_barlow,halfcheetah-medium-v2,80,1.0,project,1,41.268788073003925,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_barlow/halfcheetah-medium-v2/nd80_ns1p0_project/seed_1/metrics.json
disentangled_barlow,halfcheetah-medium-v2,80,2.0,project,1,40.56221924748704,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_barlow/halfcheetah-medium-v2/nd80_ns2p0_project/seed_1/metrics.json
disentangled_barlow,halfcheetah-medium-v2,80,4.0,project,1,39.0643593102807,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_barlow/halfcheetah-medium-v2/nd80_ns4p0_project/seed_1/metrics.json
disentangled_cov,halfcheetah-medium-v2,10,1.0,project,1,40.82273988493411,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_cov/halfcheetah-medium-v2/nd10_ns1p0_project/seed_1/metrics.json
disentangled_cov,halfcheetah-medium-v2,10,2.0,project,1,40.39132326064889,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_cov/halfcheetah-medium-v2/nd10_ns2p0_project/seed_1/metrics.json
disentangled_cov,halfcheetah-medium-v2,10,4.0,project,1,40.69203044087982,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_cov/halfcheetah-medium-v2/nd10_ns4p0_project/seed_1/metrics.json
disentangled_cov,halfcheetah-medium-v2,20,1.0,project,1,40.15905088659711,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_cov/halfcheetah-medium-v2/nd20_ns1p0_project/seed_1/metrics.json
disentangled_cov,halfcheetah-medium-v2,20,2.0,project,1,40.58850376719517,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_cov/halfcheetah-medium-v2/nd20_ns2p0_project/seed_1/metrics.json
disentangled_cov,halfcheetah-medium-v2,20,4.0,project,1,39.54577506426145,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_cov/halfcheetah-medium-v2/nd20_ns4p0_project/seed_1/metrics.json
disentangled_cov,halfcheetah-medium-v2,40,1.0,project,1,40.755029701503425,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_cov/halfcheetah-medium-v2/nd40_ns1p0_project/seed_1/metrics.json
disentangled_cov,halfcheetah-medium-v2,40,2.0,project,1,40.42381392461058,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_cov/halfcheetah-medium-v2/nd40_ns2p0_project/seed_1/metrics.json
disentangled_cov,halfcheetah-medium-v2,40,4.0,project,1,36.18346321928506,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_cov/halfcheetah-medium-v2/nd40_ns4p0_project/seed_1/metrics.json
disentangled_cov,halfcheetah-medium-v2,80,1.0,project,1,40.590741076302756,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_cov/halfcheetah-medium-v2/nd80_ns1p0_project/seed_1/metrics.json
disentangled_cov,halfcheetah-medium-v2,80,2.0,project,1,40.39897088826152,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_cov/halfcheetah-medium-v2/nd80_ns2p0_project/seed_1/metrics.json
disentangled_cov,halfcheetah-medium-v2,80,4.0,project,1,39.876419790982986,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_cov/halfcheetah-medium-v2/nd80_ns4p0_project/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,10,1.0,project,1,40.17369461558109,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd10_ns1p0_project/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,10,2.0,project,1,39.55106284459642,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd10_ns2p0_project/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,10,4.0,project,1,40.966046727200464,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd10_ns4p0_project/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,20,1.0,project,1,40.15591716272586,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd20_ns1p0_project/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,20,2.0,project,1,40.44436514504138,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd20_ns2p0_project/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,20,4.0,project,1,40.37280194754718,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd20_ns4p0_project/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,40,1.0,project,1,39.85614184622291,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd40_ns1p0_project/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,40,2.0,project,1,39.68164961689015,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd40_ns2p0_project/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,40,4.0,project,1,40.57657511167426,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd40_ns4p0_project/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,80,1.0,project,1,40.06272766980019,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd80_ns1p0_project/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,80,2.0,project,1,41.02050811072986,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd80_ns2p0_project/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,80,4.0,project,1,40.3497485226936,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd80_ns4p0_project/seed_1/metrics.json
disentangled_hsic,halfcheetah-medium-v2,10,1.0,project,1,39.18024028202621,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_hsic/halfcheetah-medium-v2/nd10_ns1p0_project/seed_1/metrics.json
disentangled_hsic,halfcheetah-medium-v2,10,2.0,project,1,40.337742512033884,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_hsic/halfcheetah-medium-v2/nd10_ns2p0_project/seed_1/metrics.json
disentangled_hsic,halfcheetah-medium-v2,10,4.0,project,1,40.75726089143548,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_hsic/halfcheetah-medium-v2/nd10_ns4p0_project/seed_1/metrics.json
disentangled_hsic,halfcheetah-medium-v2,20,1.0,project,1,40.53037416650589,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_hsic/halfcheetah-medium-v2/nd20_ns1p0_project/seed_1/metrics.json
disentangled_hsic,halfcheetah-medium-v2,20,2.0,project,1,37.95973632318165,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_hsic/halfcheetah-medium-v2/nd20_ns2p0_project/seed_1/metrics.json
disentangled_hsic,halfcheetah-medium-v2,20,4.0,project,1,40.55970326821021,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_hsic/halfcheetah-medium-v2/nd20_ns4p0_project/seed_1/metrics.json
disentangled_hsic,halfcheetah-medium-v2,40,1.0,project,1,39.40379933863966,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_hsic/halfcheetah-medium-v2/nd40_ns1p0_project/seed_1/metrics.json
disentangled_hsic,halfcheetah-medium-v2,40,2.0,project,1,40.40286144502826,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_hsic/halfcheetah-medium-v2/nd40_ns2p0_project/seed_1/metrics.json
disentangled_hsic,halfcheetah-medium-v2,40,4.0,project,1,40.63960140729998,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_hsic/halfcheetah-medium-v2/nd40_ns4p0_project/seed_1/metrics.json
disentangled_hsic,halfcheetah-medium-v2,80,1.0,project,1,40.03835794448819,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_hsic/halfcheetah-medium-v2/nd80_ns1p0_project/seed_1/metrics.json
disentangled_hsic,halfcheetah-medium-v2,80,2.0,project,1,40.6292373052951,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_hsic/halfcheetah-medium-v2/nd80_ns2p0_project/seed_1/metrics.json
disentangled_hsic,halfcheetah-medium-v2,80,4.0,project,1,40.10098524035986,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_hsic/halfcheetah-medium-v2/nd80_ns4p0_project/seed_1/metrics.json
disentangled_infonce,halfcheetah-medium-v2,10,1.0,project,1,39.77743120018943,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_infonce/halfcheetah-medium-v2/nd10_ns1p0_project/seed_1/metrics.json
disentangled_infonce,halfcheetah-medium-v2,10,2.0,project,1,40.053851544937736,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_infonce/halfcheetah-medium-v2/nd10_ns2p0_project/seed_1/metrics.json
disentangled_infonce,halfcheetah-medium-v2,10,4.0,project,1,40.506417143128914,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_infonce/halfcheetah-medium-v2/nd10_ns4p0_project/seed_1/metrics.json
disentangled_infonce,halfcheetah-medium-v2,20,1.0,project,1,40.53283543609607,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_infonce/halfcheetah-medium-v2/nd20_ns1p0_project/seed_1/metrics.json
disentangled_infonce,halfcheetah-medium-v2,20,2.0,project,1,40.704614733309604,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_infonce/halfcheetah-medium-v2/nd20_ns2p0_project/seed_1/metrics.json
disentangled_infonce,halfcheetah-medium-v2,20,4.0,project,1,40.20734954108083,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_infonce/halfcheetah-medium-v2/nd20_ns4p0_project/seed_1/metrics.json
disentangled_infonce,halfcheetah-medium-v2,40,1.0,project,1,39.468115959133534,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_infonce/halfcheetah-medium-v2/nd40_ns1p0_project/seed_1/metrics.json
disentangled_infonce,halfcheetah-medium-v2,40,2.0,project,1,40.91378559951609,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_infonce/halfcheetah-medium-v2/nd40_ns2p0_project/seed_1/metrics.json
disentangled_infonce,halfcheetah-medium-v2,40,4.0,project,1,38.24646811420097,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_infonce/halfcheetah-medium-v2/nd40_ns4p0_project/seed_1/metrics.json
disentangled_infonce,halfcheetah-medium-v2,80,1.0,project,1,40.013171689312,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_infonce/halfcheetah-medium-v2/nd80_ns1p0_project/seed_1/metrics.json
disentangled_infonce,halfcheetah-medium-v2,80,2.0,project,1,40.681498519178106,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_infonce/halfcheetah-medium-v2/nd80_ns2p0_project/seed_1/metrics.json
disentangled_infonce,halfcheetah-medium-v2,80,4.0,project,1,40.53224320351113,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_infonce/halfcheetah-medium-v2/nd80_ns4p0_project/seed_1/metrics.json
disentangled_l1,halfcheetah-medium-v2,10,1.0,project,1,39.89531710506325,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_l1/halfcheetah-medium-v2/nd10_ns1p0_project/seed_1/metrics.json
disentangled_l1,halfcheetah-medium-v2,10,2.0,project,1,36.54477302637027,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_l1/halfcheetah-medium-v2/nd10_ns2p0_project/seed_1/metrics.json
disentangled_l1,halfcheetah-medium-v2,10,4.0,project,1,40.14656061446906,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_l1/halfcheetah-medium-v2/nd10_ns4p0_project/seed_1/metrics.json
disentangled_l1,halfcheetah-medium-v2,20,1.0,project,1,40.57514176895295,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_l1/halfcheetah-medium-v2/nd20_ns1p0_project/seed_1/metrics.json
disentangled_l1,halfcheetah-medium-v2,20,2.0,project,1,40.342996684701305,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_l1/halfcheetah-medium-v2/nd20_ns2p0_project/seed_1/metrics.json
disentangled_l1,halfcheetah-medium-v2,20,4.0,project,1,35.43470836070159,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_l1/halfcheetah-medium-v2/nd20_ns4p0_project/seed_1/metrics.json
disentangled_l1,halfcheetah-medium-v2,40,1.0,project,1,37.985577555148076,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_l1/halfcheetah-medium-v2/nd40_ns1p0_project/seed_1/metrics.json
disentangled_l1,halfcheetah-medium-v2,40,2.0,project,1,34.76009674001324,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_l1/halfcheetah-medium-v2/nd40_ns2p0_project/seed_1/metrics.json
disentangled_l1,halfcheetah-medium-v2,40,4.0,project,1,32.20288722528595,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_l1/halfcheetah-medium-v2/nd40_ns4p0_project/seed_1/metrics.json
disentangled_l1,halfcheetah-medium-v2,80,1.0,project,1,37.85024289705491,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_l1/halfcheetah-medium-v2/nd80_ns1p0_project/seed_1/metrics.json
