Method,Env,Dim,Scale,Type,Seed,Score,Source
disentangled_dcor,halfcheetah-medium-v2,10,2.0,concat,1,40.06223473057355,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd10_ns2p0_concat/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,40,4.0,concat,1,39.81599410280769,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd40_ns4p0_concat/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,40,2.0,concat,1,40.89855323251743,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd40_ns2p0_concat/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,20,4.0,concat,1,40.635938186337555,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd20_ns4p0_concat/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,5,1.0,concat,1,39.441126452900335,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd5_ns1p0_concat/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,40,1.0,concat,1,39.25333498572973,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd40_ns1p0_concat/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,5,2.0,concat,1,39.788084650826725,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd5_ns2p0_concat/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,20,2.0,concat,1,41.15043343246322,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd20_ns2p0_concat/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,10,1.0,concat,1,39.92169182628451,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd10_ns1p0_concat/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,80,2.0,concat,1,40.94481020539465,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd80_ns2p0_concat/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,80,4.0,concat,1,40.82286551880283,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd80_ns4p0_concat/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,80,1.0,concat,1,40.4432463782477,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd80_ns1p0_concat/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,5,4.0,concat,1,39.803369213687475,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd5_ns4p0_concat/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,20,1.0,concat,1,40.905839759151114,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd20_ns1p0_concat/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,10,4.0,concat,1,40.269306040645034,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd10_ns4p0_concat/seed_1/metrics.json
plain,halfcheetah-medium-v2,10,2.0,concat,1,40.13757730967244,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/halfcheetah-medium-v2/nd10_ns2p0_concat/seed_1/metrics.json
plain,halfcheetah-medium-v2,40,4.0,concat,1,40.26921432341664,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/halfcheetah-medium-v2/nd40_ns4p0_concat/seed_1/metrics.json
plain,halfcheetah-medium-v2,40,2.0,concat,1,40.02791631370193,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/halfcheetah-medium-v2/nd40_ns2p0_concat/seed_1/metrics.json
plain,halfcheetah-medium-v2,20,4.0,concat,1,40.871746672256684,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/halfcheetah-medium-v2/nd20_ns4p0_concat/seed_1/metrics.json
plain,halfcheetah-medium-v2,5,1.0,concat,1,38.81097226310567,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/halfcheetah-medium-v2/nd5_ns1p0_concat/seed_1/metrics.json
plain,halfcheetah-medium-v2,40,1.0,concat,1,39.23898189270862,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/halfcheetah-medium-v2/nd40_ns1p0_concat/seed_1/metrics.json
plain,halfcheetah-medium-v2,5,2.0,concat,1,39.58832877777557,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/halfcheetah-medium-v2/nd5_ns2p0_concat/seed_1/metrics.json
plain,halfcheetah-medium-v2,20,2.0,concat,1,40.71216552960562,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/halfcheetah-medium-v2/nd20_ns2p0_concat/seed_1/metrics.json
plain,halfcheetah-medium-v2,10,1.0,concat,1,40.01083070281234,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/halfcheetah-medium-v2/nd10_ns1p0_concat/seed_1/metrics.json
plain,halfcheetah-medium-v2,80,2.0,concat,1,40.4979915835844,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/halfcheetah-medium-v2/nd80_ns2p0_concat/seed_1/metrics.json
plain,halfcheetah-medium-v2,80,4.0,concat,1,39.999624159274696,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/halfcheetah-medium-v2/nd80_ns4p0_concat/seed_1/metrics.json
plain,halfcheetah-medium-v2,80,1.0,concat,1,40.590120029953155,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/halfcheetah-medium-v2/nd80_ns1p0_concat/seed_1/metrics.json
plain,halfcheetah-medium-v2,5,4.0,concat,1,40.31527538354189,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/halfcheetah-medium-v2/nd5_ns4p0_concat/seed_1/metrics.json
plain,halfcheetah-medium-v2,20,1.0,concat,1,40.6380022391222,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/halfcheetah-medium-v2/nd20_ns1p0_concat/seed_1/metrics.json
plain,halfcheetah-medium-v2,10,4.0,concat,1,40.88188748845623,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/halfcheetah-medium-v2/nd10_ns4p0_concat/seed_1/metrics.json
raw_noisy,halfcheetah-medium-v2,10,2.0,concat,1,41.16069394469511,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/halfcheetah-medium-v2/nd10_ns2p0_concat/seed_1/metrics.json
raw_noisy,halfcheetah-medium-v2,40,4.0,concat,1,39.28361931165532,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/halfcheetah-medium-v2/nd40_ns4p0_concat/seed_1/metrics.json
raw_noisy,halfcheetah-medium-v2,40,2.0,concat,1,40.7310181784807,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/halfcheetah-medium-v2/nd40_ns2p0_concat/seed_1/metrics.json
raw_noisy,halfcheetah-medium-v2,20,4.0,concat,1,39.48039325657791,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/halfcheetah-medium-v2/nd20_ns4p0_concat/seed_1/metrics.json
raw_noisy,halfcheetah-medium-v2,5,1.0,concat,1,39.9618374075216,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/halfcheetah-medium-v2/nd5_ns1p0_concat/seed_1/metrics.json
