Method,Env,Dim,Scale,Type,Seed,Score,Source
disentangled_dcor,halfcheetah-medium-v2,8,1.5,nonlinear,1,36.93170705303218,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd8_ns1p5_nonlinear/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,8,1.5,nonlinear,3,38.819977355746275,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd8_ns1p5_nonlinear/seed_3/metrics.json
disentangled_dcor,halfcheetah-medium-v2,8,1.5,nonlinear,2,36.610603912378394,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd8_ns1p5_nonlinear/seed_2/metrics.json
disentangled_dcor,halfcheetah-medium-v2,13,1.0,nonlinear,1,36.59701025269952,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd13_ns1p0_nonlinear/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,13,1.0,nonlinear,3,36.29785214596027,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd13_ns1p0_nonlinear/seed_3/metrics.json
disentangled_dcor,halfcheetah-medium-v2,13,1.0,nonlinear,2,36.083307199390184,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd13_ns1p0_nonlinear/seed_2/metrics.json
disentangled_dcor,halfcheetah-medium-v2,8,1.0,nonlinear,1,38.94403881723567,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd8_ns1p0_nonlinear/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,8,1.0,nonlinear,3,39.51923213805284,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd8_ns1p0_nonlinear/seed_3/metrics.json
disentangled_dcor,halfcheetah-medium-v2,8,1.0,nonlinear,2,39.77858629192678,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd8_ns1p0_nonlinear/seed_2/metrics.json
disentangled_dcor,halfcheetah-medium-v2,4,1.5,nonlinear,1,37.69474188032832,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd4_ns1p5_nonlinear/seed_1/metrics.json
