Method,Env,Dim,Scale,Type,Seed,Score,Source
disentangled_dcor,halfcheetah-medium-v2,20,0.5,nonlinear,5,37.076612544154784,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd20_ns0p5_nonlinear/seed_5/metrics.json
disentangled_dcor,halfcheetah-medium-v2,20,0.5,nonlinear,1,39.7964333258518,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd20_ns0p5_nonlinear/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,20,0.5,nonlinear,3,38.83933483668528,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd20_ns0p5_nonlinear/seed_3/metrics.json
disentangled_dcor,halfcheetah-medium-v2,20,0.5,nonlinear,2,39.41855064781485,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd20_ns0p5_nonlinear/seed_2/metrics.json
disentangled_dcor,halfcheetah-medium-v2,10,8.0,nonlinear,5,1.6155454212103084,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd10_ns8p0_nonlinear/seed_5/metrics.json
disentangled_dcor,halfcheetah-medium-v2,10,8.0,nonlinear,1,1.825962626668767,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd10_ns8p0_nonlinear/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,10,8.0,nonlinear,3,1.5017984136849178,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd10_ns8p0_nonlinear/seed_3/metrics.json
disentangled_dcor,halfcheetah-medium-v2,10,8.0,nonlinear,2,2.4288586621809394,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd10_ns8p0_nonlinear/seed_2/metrics.json
disentangled_dcor,halfcheetah-medium-v2,80,0.5,nonlinear,5,38.643925707066245,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd80_ns0p5_nonlinear/seed_5/metrics.json
disentangled_dcor,halfcheetah-medium-v2,80,0.5,nonlinear,1,38.67807063495778,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd80_ns0p5_nonlinear/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,80,0.5,nonlinear,3,38.612053088347295,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd80_ns0p5_nonlinear/seed_3/metrics.json
disentangled_dcor,halfcheetah-medium-v2,80,0.5,nonlinear,2,38.53921697466939,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd80_ns0p5_nonlinear/seed_2/metrics.json
disentangled_dcor,halfcheetah-medium-v2,80,1.0,nonlinear,5,24.323035270364386,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd80_ns1p0_nonlinear/seed_5/metrics.json
disentangled_dcor,halfcheetah-medium-v2,80,1.0,nonlinear,1,25.86172184677672,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd80_ns1p0_nonlinear/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,80,1.0,nonlinear,3,25.595387220056843,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd80_ns1p0_nonlinear/seed_3/metrics.json
disentangled_dcor,halfcheetah-medium-v2,80,1.0,nonlinear,2,25.432209391239297,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd80_ns1p0_nonlinear/seed_2/metrics.json
disentangled_dcor,halfcheetah-medium-v2,40,0.5,nonlinear,5,38.47386191503594,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd40_ns0p5_nonlinear/seed_5/metrics.json
disentangled_dcor,halfcheetah-medium-v2,40,0.5,nonlinear,1,38.653959693532585,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd40_ns0p5_nonlinear/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,40,0.5,nonlinear,3,38.01818440482036,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd40_ns0p5_nonlinear/seed_3/metrics.json
disentangled_dcor,halfcheetah-medium-v2,40,0.5,nonlinear,2,38.20022434121873,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd40_ns0p5_nonlinear/seed_2/metrics.json
disentangled_dcor,halfcheetah-medium-v2,5,8.0,nonlinear,5,3.153031273987403,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd5_ns8p0_nonlinear/seed_5/metrics.json
disentangled_dcor,halfcheetah-medium-v2,5,8.0,nonlinear,1,3.075569905229253,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd5_ns8p0_nonlinear/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,5,8.0,nonlinear,3,3.032432698330784,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd5_ns8p0_nonlinear/seed_3/metrics.json
disentangled_dcor,halfcheetah-medium-v2,5,8.0,nonlinear,2,4.7080383095827765,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd5_ns8p0_nonlinear/seed_2/metrics.json
disentangled_dcor,halfcheetah-medium-v2,20,1.0,nonlinear,5,31.13135576861845,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd20_ns1p0_nonlinear/seed_5/metrics.json
disentangled_dcor,halfcheetah-medium-v2,20,1.0,nonlinear,1,8.823983120144522,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd20_ns1p0_nonlinear/seed_1/metrics.json
