Method,Env,Dim,Scale,Type,Seed,Score,Source
disentangled_dcor,halfcheetah-medium-v2,8,1.5,nonlinear,2,36.610603912378394,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd8_ns1p5_nonlinear/seed_2/metrics.json
disentangled_dcor,halfcheetah-medium-v2,13,1.0,nonlinear,2,36.083307199390184,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd13_ns1p0_nonlinear/seed_2/metrics.json
disentangled_dcor,halfcheetah-medium-v2,8,1.0,nonlinear,2,39.77858629192678,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd8_ns1p0_nonlinear/seed_2/metrics.json
disentangled_dcor,halfcheetah-medium-v2,4,1.5,nonlinear,2,36.31152581670697,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd4_ns1p5_nonlinear/seed_2/metrics.json
disentangled_dcor,halfcheetah-medium-v2,17,0.5,nonlinear,2,37.48968869179145,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd17_ns0p5_nonlinear/seed_2/metrics.json
disentangled_dcor,halfcheetah-medium-v2,8,2.0,nonlinear,2,28.42180397356293,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd8_ns2p0_nonlinear/seed_2/metrics.json
disentangled_dcor,halfcheetah-medium-v2,17,1.0,nonlinear,2,36.718583710974414,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd17_ns1p0_nonlinear/seed_2/metrics.json
disentangled_dcor,halfcheetah-medium-v2,13,1.5,nonlinear,2,27.814006580975047,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd13_ns1p5_nonlinear/seed_2/metrics.json
disentangled_dcor,halfcheetah-medium-v2,13,0.5,nonlinear,2,37.68434783264643,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd13_ns0p5_nonlinear/seed_2/metrics.json
disentangled_dcor,halfcheetah-medium-v2,4,2.0,nonlinear,2,35.961040311610695,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd4_ns2p0_nonlinear/seed_2/metrics.json
disentangled_dcor,halfcheetah-medium-v2,4,0.5,nonlinear,2,39.24605112612665,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd4_ns0p5_nonlinear/seed_2/metrics.json
disentangled_dcor,halfcheetah-medium-v2,17,1.5,nonlinear,2,31.161303071617162,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd17_ns1p5_nonlinear/seed_2/metrics.json
disentangled_dcor,halfcheetah-medium-v2,17,2.0,nonlinear,2,20.302440597963432,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd17_ns2p0_nonlinear/seed_2/metrics.json
disentangled_dcor,halfcheetah-medium-v2,13,2.0,nonlinear,2,24.611630894379672,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd13_ns2p0_nonlinear/seed_2/metrics.json
