index,Method,Env,Dim,Scale,Type,mean,std,count,Method Name
0,disentangled_barlow,halfcheetah-medium-v2,5,1.0,concat,40.11172114119558,,1,Barlow
1,disentangled_barlow,halfcheetah-medium-v2,5,2.0,concat,40.76802899184833,,1,Barlow
2,disentangled_barlow,halfcheetah-medium-v2,5,4.0,concat,39.78927469071818,,1,Barlow
3,disentangled_barlow,halfcheetah-medium-v2,10,1.0,concat,41.12887521914273,,1,Barlow
4,disentangled_barlow,halfcheetah-medium-v2,10,2.0,concat,40.63790099474666,,1,Barlow
5,disentangled_barlow,halfcheetah-medium-v2,10,4.0,concat,40.204615215976666,,1,Barlow
6,disentangled_barlow,halfcheetah-medium-v2,20,1.0,concat,40.2447684195901,,1,Barlow
7,disentangled_barlow,halfcheetah-medium-v2,20,2.0,concat,41.06072289506948,,1,Barlow
8,disentangled_barlow,halfcheetah-medium-v2,20,4.0,concat,40.61600874193092,,1,Barlow
9,disentangled_barlow,halfcheetah-medium-v2,40,1.0,concat,39.42458324489394,,1,Barlow
10,disentangled_barlow,halfcheetah-medium-v2,40,2.0,concat,40.93912146262402,,1,Barlow
11,disentangled_barlow,halfcheetah-medium-v2,40,4.0,concat,40.14141784144737,,1,Barlow
12,disentangled_barlow,halfcheetah-medium-v2,80,1.0,concat,41.24195851900507,,1,Barlow
13,disentangled_barlow,halfcheetah-medium-v2,80,2.0,concat,38.54893458934448,,1,Barlow
14,disentangled_barlow,halfcheetah-medium-v2,80,4.0,concat,31.96941407039659,,1,Barlow
15,disentangled_cov,halfcheetah-medium-v2,5,1.0,concat,40.28820620676725,,1,Covariance
16,disentangled_cov,halfcheetah-medium-v2,5,2.0,concat,40.68835084679473,,1,Covariance
17,disentangled_cov,halfcheetah-medium-v2,5,4.0,concat,40.46891849352171,,1,Covariance
18,disentangled_cov,halfcheetah-medium-v2,10,1.0,concat,39.73487976904853,,1,Covariance
19,disentangled_cov,halfcheetah-medium-v2,10,2.0,concat,41.40412496779023,,1,Covariance
20,disentangled_cov,halfcheetah-medium-v2,10,4.0,concat,40.82235637796434,,1,Covariance
21,disentangled_cov,halfcheetah-medium-v2,20,1.0,concat,41.108760966622036,,1,Covariance
22,disentangled_cov,halfcheetah-medium-v2,20,2.0,concat,40.2000922086682,,1,Covariance
23,disentangled_cov,halfcheetah-medium-v2,20,4.0,concat,41.15626340309346,,1,Covariance
24,disentangled_cov,halfcheetah-medium-v2,40,1.0,concat,40.41034545718986,,1,Covariance
25,disentangled_cov,halfcheetah-medium-v2,40,2.0,concat,40.11811082989294,,1,Covariance
26,disentangled_cov,halfcheetah-medium-v2,40,4.0,concat,41.18927973393645,,1,Covariance
27,disentangled_cov,halfcheetah-medium-v2,80,1.0,concat,40.645911242244445,,1,Covariance
28,disentangled_cov,halfcheetah-medium-v2,80,2.0,concat,40.07198427427047,,1,Covariance
29,disentangled_cov,halfcheetah-medium-v2,80,4.0,concat,40.51669693688913,,1,Covariance
30,disentangled_dcor,halfcheetah-medium-v2,5,1.0,concat,39.441126452900335,,1,dCor
31,disentangled_dcor,halfcheetah-medium-v2,5,2.0,concat,39.788084650826725,,1,dCor
32,disentangled_dcor,halfcheetah-medium-v2,5,4.0,concat,39.803369213687475,,1,dCor
33,disentangled_dcor,halfcheetah-medium-v2,10,1.0,concat,39.92169182628451,,1,dCor
34,disentangled_dcor,halfcheetah-medium-v2,10,2.0,concat,40.06223473057355,,1,dCor
35,disentangled_dcor,halfcheetah-medium-v2,10,4.0,concat,40.269306040645034,,1,dCor
36,disentangled_dcor,halfcheetah-medium-v2,20,1.0,concat,40.905839759151114,,1,dCor
37,disentangled_dcor,halfcheetah-medium-v2,20,2.0,concat,41.15043343246322,,1,dCor
38,disentangled_dcor,halfcheetah-medium-v2,20,4.0,concat,40.635938186337555,,1,dCor
39,disentangled_dcor,halfcheetah-medium-v2,40,1.0,concat,39.25333498572973,,1,dCor
40,disentangled_dcor,halfcheetah-medium-v2,40,2.0,concat,40.89855323251743,,1,dCor
41,disentangled_dcor,halfcheetah-medium-v2,40,4.0,concat,39.81599410280769,,1,dCor
42,disentangled_dcor,halfcheetah-medium-v2,80,1.0,concat,40.4432463782477,,1,dCor
43,disentangled_dcor,halfcheetah-medium-v2,80,2.0,concat,40.94481020539465,,1,dCor
44,disentangled_dcor,halfcheetah-medium-v2,80,4.0,concat,40.82286551880283,,1,dCor
45,disentangled_hsic,halfcheetah-medium-v2,5,1.0,concat,38.57664852326539,,1,HSIC
46,disentangled_hsic,halfcheetah-medium-v2,5,2.0,concat,40.42941186474739,,1,HSIC
47,disentangled_hsic,halfcheetah-medium-v2,5,4.0,concat,40.88808545993498,,1,HSIC
48,disentangled_hsic,halfcheetah-medium-v2,10,1.0,concat,40.99305502700907,,1,HSIC
49,disentangled_hsic,halfcheetah-medium-v2,10,2.0,concat,40.722085590811474,,1,HSIC
50,disentangled_hsic,halfcheetah-medium-v2,10,4.0,concat,40.25599853133136,,1,HSIC
51,disentangled_hsic,halfcheetah-medium-v2,20,1.0,concat,40.53771584131307,,1,HSIC
52,disentangled_hsic,halfcheetah-medium-v2,20,2.0,concat,40.604772850508105,,1,HSIC
53,disentangled_hsic,halfcheetah-medium-v2,20,4.0,concat,38.8745134575346,,1,HSIC
54,disentangled_hsic,halfcheetah-medium-v2,40,1.0,concat,40.18248661449624,,1,HSIC
55,disentangled_hsic,halfcheetah-medium-v2,40,2.0,concat,39.387009130538154,,1,HSIC
56,disentangled_hsic,halfcheetah-medium-v2,40,4.0,concat,40.77724733628541,,1,HSIC
