index,Method,Env,Dim,Scale,Type,mean,std,count,Method Name
0,disentangled_barlow,halfcheetah-medium-v2,5,0.5,nonlinear,39.71368075382748,0.8716238516196417,3,Barlow
1,disentangled_barlow,halfcheetah-medium-v2,5,1.0,nonlinear,38.67158484424137,1.7629786352131895,3,Barlow
2,disentangled_barlow,halfcheetah-medium-v2,5,2.0,nonlinear,34.694285585221316,0.8182425440784866,3,Barlow
3,disentangled_barlow,halfcheetah-medium-v2,5,4.0,nonlinear,14.978371388448181,2.343234395242578,3,Barlow
4,disentangled_barlow,halfcheetah-medium-v2,5,8.0,nonlinear,3.5901816904972743,0.44315364219756676,3,Barlow
5,disentangled_barlow,halfcheetah-medium-v2,10,0.5,nonlinear,38.56894427840559,1.2801948809191528,3,Barlow
6,disentangled_barlow,halfcheetah-medium-v2,10,1.0,nonlinear,37.862527402143826,0.2756484127141727,3,Barlow
7,disentangled_barlow,halfcheetah-medium-v2,10,2.0,nonlinear,31.485443233670697,1.2729534639771305,3,Barlow
8,disentangled_barlow,halfcheetah-medium-v2,10,4.0,nonlinear,5.872808340893339,1.0861544391859266,3,Barlow
9,disentangled_barlow,halfcheetah-medium-v2,10,8.0,nonlinear,1.4039595014071626,0.5605057938232296,3,Barlow
10,disentangled_barlow,halfcheetah-medium-v2,20,0.5,nonlinear,39.18455079817295,0.8289711644632531,3,Barlow
11,disentangled_barlow,halfcheetah-medium-v2,20,1.0,nonlinear,27.246157838583144,17.11952721960859,3,Barlow
12,disentangled_barlow,halfcheetah-medium-v2,20,2.0,nonlinear,17.489042061269654,1.796365265313665,3,Barlow
13,disentangled_barlow,halfcheetah-medium-v2,20,4.0,nonlinear,3.0363163830661617,0.21818057273322458,3,Barlow
14,disentangled_barlow,halfcheetah-medium-v2,20,8.0,nonlinear,1.233717758360711,0.21877019728037406,3,Barlow
15,disentangled_barlow,halfcheetah-medium-v2,40,0.5,nonlinear,38.85224776887507,0.6328693809131204,3,Barlow
16,disentangled_barlow,halfcheetah-medium-v2,40,1.0,nonlinear,31.541310728922394,4.649419029128903,3,Barlow
17,disentangled_barlow,halfcheetah-medium-v2,40,2.0,nonlinear,6.455336978826246,1.019655694666179,2,Barlow
18,disentangled_barlow,halfcheetah-medium-v2,40,4.0,nonlinear,2.4724750354098433,0.5819754250071779,2,Barlow
19,disentangled_barlow,halfcheetah-medium-v2,40,8.0,nonlinear,0.9599843291181752,0.0067520087287448495,2,Barlow
20,disentangled_barlow,halfcheetah-medium-v2,80,0.5,nonlinear,38.33865147943971,1.8055610493926024,2,Barlow
21,disentangled_barlow,halfcheetah-medium-v2,80,1.0,nonlinear,25.43071921984872,2.392523126740042,2,Barlow
22,disentangled_barlow,halfcheetah-medium-v2,80,2.0,nonlinear,4.630509947325377,0.00956931393726063,2,Barlow
23,disentangled_barlow,halfcheetah-medium-v2,80,4.0,nonlinear,1.7604772484487703,0.6809707557148461,2,Barlow
24,disentangled_barlow,halfcheetah-medium-v2,80,8.0,nonlinear,0.9592111800383873,0.10449000254419918,2,Barlow
25,disentangled_cov,halfcheetah-medium-v2,5,0.5,nonlinear,38.437698686229446,2.0632745903957845,3,Covariance
26,disentangled_cov,halfcheetah-medium-v2,5,1.0,nonlinear,37.82528664768868,1.2860712452312946,3,Covariance
27,disentangled_cov,halfcheetah-medium-v2,5,2.0,nonlinear,34.785194217317205,2.785168999041674,3,Covariance
28,disentangled_cov,halfcheetah-medium-v2,5,4.0,nonlinear,15.206309630699261,2.2546902965386253,3,Covariance
29,disentangled_cov,halfcheetah-medium-v2,5,8.0,nonlinear,4.050392827391793,0.5086868729247143,3,Covariance
30,disentangled_cov,halfcheetah-medium-v2,10,0.5,nonlinear,38.41202951228374,1.8824813689713882,3,Covariance
31,disentangled_cov,halfcheetah-medium-v2,10,1.0,nonlinear,38.46871035555762,1.2105265285798696,3,Covariance
32,disentangled_cov,halfcheetah-medium-v2,10,2.0,nonlinear,29.706609083021288,1.8114355095601404,3,Covariance
33,disentangled_cov,halfcheetah-medium-v2,10,4.0,nonlinear,6.478311242516475,1.5512504062416996,3,Covariance
34,disentangled_cov,halfcheetah-medium-v2,10,8.0,nonlinear,1.3547029285804673,0.4810257530024686,3,Covariance
35,disentangled_cov,halfcheetah-medium-v2,20,0.5,nonlinear,38.62374073591056,0.7639125982327888,3,Covariance
36,disentangled_cov,halfcheetah-medium-v2,20,1.0,nonlinear,27.39139863648732,17.027832359131445,3,Covariance
37,disentangled_cov,halfcheetah-medium-v2,20,2.0,nonlinear,18.251610190500646,1.975945791916898,3,Covariance
38,disentangled_cov,halfcheetah-medium-v2,20,4.0,nonlinear,3.164264395446139,0.3162161752946317,3,Covariance
39,disentangled_cov,halfcheetah-medium-v2,20,8.0,nonlinear,1.3270584432859918,0.19482020914573364,3,Covariance
40,disentangled_cov,halfcheetah-medium-v2,40,0.5,nonlinear,38.48475896721277,0.7812940176315434,3,Covariance
41,disentangled_cov,halfcheetah-medium-v2,40,1.0,nonlinear,29.831318952434824,2.692408316135426,3,Covariance
42,disentangled_cov,halfcheetah-medium-v2,40,2.0,nonlinear,7.533442744210732,0.5121711710567962,3,Covariance
43,disentangled_cov,halfcheetah-medium-v2,40,4.0,nonlinear,2.415239203231284,0.18538966125115114,3,Covariance
44,disentangled_cov,halfcheetah-medium-v2,40,8.0,nonlinear,1.221320190125888,0.07626860957989358,3,Covariance
45,disentangled_cov,halfcheetah-medium-v2,80,0.5,nonlinear,39.00508911349276,0.6093485342597375,3,Covariance
46,disentangled_cov,halfcheetah-medium-v2,80,1.0,nonlinear,27.803766401471844,1.6492143133089794,3,Covariance
47,disentangled_cov,halfcheetah-medium-v2,80,2.0,nonlinear,6.056255031507868,0.58610704803012,3,Covariance
48,disentangled_cov,halfcheetah-medium-v2,80,4.0,nonlinear,2.0192932237163137,0.27675535155693226,3,Covariance
49,disentangled_cov,halfcheetah-medium-v2,80,8.0,nonlinear,1.2328121485563968,0.21598117286087337,3,Covariance
50,disentangled_dcor,halfcheetah-medium-v2,5,0.5,nonlinear,39.05646363455243,0.9268082950360652,3,dCor
51,disentangled_dcor,halfcheetah-medium-v2,5,1.0,nonlinear,38.59866481951702,1.1155989071861476,3,dCor
52,disentangled_dcor,halfcheetah-medium-v2,5,2.0,nonlinear,36.58688587994384,1.519403846661847,3,dCor
53,disentangled_dcor,halfcheetah-medium-v2,5,4.0,nonlinear,17.022512059963827,3.730680405748693,3,dCor
54,disentangled_dcor,halfcheetah-medium-v2,5,8.0,nonlinear,3.6053469710476045,0.9552022538264435,3,dCor
55,disentangled_dcor,halfcheetah-medium-v2,10,0.5,nonlinear,38.14896585173357,0.28386818257239066,3,dCor
56,disentangled_dcor,halfcheetah-medium-v2,10,1.0,nonlinear,39.333499110368045,0.047594333238609496,3,dCor
57,disentangled_dcor,halfcheetah-medium-v2,10,2.0,nonlinear,30.90159822300946,5.431773861845649,3,dCor
58,disentangled_dcor,halfcheetah-medium-v2,10,4.0,nonlinear,5.8430459198741005,1.099490711156283,3,dCor
59,disentangled_dcor,halfcheetah-medium-v2,10,8.0,nonlinear,1.918873234178208,0.4704619663970791,3,dCor
60,disentangled_dcor,halfcheetah-medium-v2,20,0.5,nonlinear,39.35143960345064,0.48206565807776697,3,dCor
61,disentangled_dcor,halfcheetah-medium-v2,20,1.0,nonlinear,25.8815249275254,14.829863097660873,3,dCor
62,disentangled_dcor,halfcheetah-medium-v2,20,2.0,nonlinear,18.42512848134778,2.578025039588792,3,dCor
63,disentangled_dcor,halfcheetah-medium-v2,20,4.0,nonlinear,2.8851548925859896,0.23256523337528073,3,dCor
64,disentangled_dcor,halfcheetah-medium-v2,20,8.0,nonlinear,1.43190310916866,0.24354237385268887,3,dCor
65,disentangled_dcor,halfcheetah-medium-v2,40,0.5,nonlinear,38.290789479857224,0.32742035319560636,3,dCor
66,disentangled_dcor,halfcheetah-medium-v2,40,1.0,nonlinear,32.841666724560646,2.2401322882258214,3,dCor
67,disentangled_dcor,halfcheetah-medium-v2,40,2.0,nonlinear,8.309604034946249,0.46786442864453237,3,dCor
68,disentangled_dcor,halfcheetah-medium-v2,40,4.0,nonlinear,2.133270354165255,0.27849513845726115,3,dCor
69,disentangled_dcor,halfcheetah-medium-v2,40,8.0,nonlinear,1.0174888619110973,0.2558311798041903,3,dCor
70,disentangled_dcor,halfcheetah-medium-v2,80,0.5,nonlinear,38.60978023265815,0.06945472733089285,3,dCor
71,disentangled_dcor,halfcheetah-medium-v2,80,1.0,nonlinear,25.629772819357623,0.21681101089405683,3,dCor
72,disentangled_dcor,halfcheetah-medium-v2,80,2.0,nonlinear,5.971813108062836,0.6430321888342394,3,dCor
73,disentangled_dcor,halfcheetah-medium-v2,80,4.0,nonlinear,2.1019071109692513,0.3639089513723145,3,dCor
74,disentangled_dcor,halfcheetah-medium-v2,80,8.0,nonlinear,1.2594111625109026,0.13374318758261053,3,dCor
75,disentangled_hsic,halfcheetah-medium-v2,5,0.5,nonlinear,39.76327587589345,0.92780141054725,3,HSIC
76,disentangled_hsic,halfcheetah-medium-v2,5,1.0,nonlinear,39.863325172959705,0.21873833590332528,3,HSIC
77,disentangled_hsic,halfcheetah-medium-v2,5,2.0,nonlinear,36.09642115188278,3.178433478395827,3,HSIC
78,disentangled_hsic,halfcheetah-medium-v2,5,4.0,nonlinear,17.05067846228955,2.028740573599726,3,HSIC
79,disentangled_hsic,halfcheetah-medium-v2,5,8.0,nonlinear,4.026413080124983,0.7599858263208416,3,HSIC
80,disentangled_hsic,halfcheetah-medium-v2,10,0.5,nonlinear,38.579532271297644,0.780466125930732,3,HSIC
81,disentangled_hsic,halfcheetah-medium-v2,10,1.0,nonlinear,37.43453270470889,0.5455161092381096,3,HSIC
82,disentangled_hsic,halfcheetah-medium-v2,10,2.0,nonlinear,32.31682337266589,1.3688771224234926,3,HSIC
83,disentangled_hsic,halfcheetah-medium-v2,10,4.0,nonlinear,5.514371011142718,0.4542012964304243,3,HSIC
84,disentangled_hsic,halfcheetah-medium-v2,10,8.0,nonlinear,2.071956395204596,0.40090051911713315,3,HSIC
85,disentangled_hsic,halfcheetah-medium-v2,20,0.5,nonlinear,39.640382027365526,1.3239135982506711,3,HSIC
86,disentangled_hsic,halfcheetah-medium-v2,20,1.0,nonlinear,26.54224796882043,16.337011354794324,3,HSIC
87,disentangled_hsic,halfcheetah-medium-v2,20,2.0,nonlinear,18.235233497333734,1.0937004168182969,3,HSIC
88,disentangled_hsic,halfcheetah-medium-v2,20,4.0,nonlinear,3.0489242238940135,0.32557679457321786,3,HSIC
89,disentangled_hsic,halfcheetah-medium-v2,20,8.0,nonlinear,1.3425113623130838,0.1183702503378145,3,HSIC
90,disentangled_hsic,halfcheetah-medium-v2,40,0.5,nonlinear,36.46190628573495,0.5296202398422433,3,HSIC
91,disentangled_hsic,halfcheetah-medium-v2,40,1.0,nonlinear,29.178883797911194,1.918996141458364,3,HSIC
92,disentangled_hsic,halfcheetah-medium-v2,40,2.0,nonlinear,7.571300533334187,0.978809709008389,3,HSIC
93,disentangled_hsic,halfcheetah-medium-v2,40,4.0,nonlinear,2.3071492976727144,0.2407680409292479,3,HSIC
