index,Method,Env,Dim,Scale,Type,mean,std,count,Method Name
0,disentangled_barlow,halfcheetah-medium-v2,4,0.5,nonlinear,37.62813296762467,,1,Barlow
1,disentangled_barlow,halfcheetah-medium-v2,4,1.0,nonlinear,39.27363217886212,,1,Barlow
2,disentangled_barlow,halfcheetah-medium-v2,4,1.5,nonlinear,39.78079261386907,,1,Barlow
3,disentangled_barlow,halfcheetah-medium-v2,4,2.0,nonlinear,34.465407984743926,,1,Barlow
4,disentangled_barlow,halfcheetah-medium-v2,8,0.5,nonlinear,36.4938381631853,,1,Barlow
5,disentangled_barlow,halfcheetah-medium-v2,8,1.0,nonlinear,38.15988691696525,,1,Barlow
6,disentangled_barlow,halfcheetah-medium-v2,8,1.5,nonlinear,36.64562877744258,,1,Barlow
7,disentangled_barlow,halfcheetah-medium-v2,8,2.0,nonlinear,31.39933589651046,,1,Barlow
8,disentangled_barlow,halfcheetah-medium-v2,13,0.5,nonlinear,37.941055510726606,,1,Barlow
9,disentangled_barlow,halfcheetah-medium-v2,13,1.0,nonlinear,34.040546260595775,,1,Barlow
10,disentangled_barlow,halfcheetah-medium-v2,13,1.5,nonlinear,32.98615044114451,,1,Barlow
11,disentangled_barlow,halfcheetah-medium-v2,13,2.0,nonlinear,25.338130839614426,,1,Barlow
12,disentangled_barlow,halfcheetah-medium-v2,17,0.5,nonlinear,39.02389696463558,,1,Barlow
13,disentangled_barlow,halfcheetah-medium-v2,17,1.0,nonlinear,38.71013141886273,,1,Barlow
14,disentangled_barlow,halfcheetah-medium-v2,17,1.5,nonlinear,31.326771990542145,,1,Barlow
15,disentangled_barlow,halfcheetah-medium-v2,17,2.0,nonlinear,22.396312815237106,,1,Barlow
16,disentangled_cov,halfcheetah-medium-v2,4,0.5,nonlinear,38.310183062873946,,1,Covariance
17,disentangled_cov,halfcheetah-medium-v2,4,1.0,nonlinear,37.111995837202834,,1,Covariance
18,disentangled_cov,halfcheetah-medium-v2,4,1.5,nonlinear,38.0848948073207,,1,Covariance
19,disentangled_cov,halfcheetah-medium-v2,4,2.0,nonlinear,36.956774461140704,,1,Covariance
20,disentangled_cov,halfcheetah-medium-v2,8,0.5,nonlinear,38.90065006789209,,1,Covariance
21,disentangled_cov,halfcheetah-medium-v2,8,1.0,nonlinear,38.2504280444286,,1,Covariance
22,disentangled_cov,halfcheetah-medium-v2,8,1.5,nonlinear,37.10543076771326,,1,Covariance
23,disentangled_cov,halfcheetah-medium-v2,8,2.0,nonlinear,31.237138297625872,,1,Covariance
24,disentangled_cov,halfcheetah-medium-v2,13,0.5,nonlinear,36.64494028895413,,1,Covariance
25,disentangled_cov,halfcheetah-medium-v2,13,1.0,nonlinear,35.1839137856588,,1,Covariance
26,disentangled_cov,halfcheetah-medium-v2,13,1.5,nonlinear,30.33989999162469,,1,Covariance
27,disentangled_cov,halfcheetah-medium-v2,13,2.0,nonlinear,24.32101400431606,,1,Covariance
28,disentangled_cov,halfcheetah-medium-v2,17,0.5,nonlinear,39.64879689389751,,1,Covariance
29,disentangled_cov,halfcheetah-medium-v2,17,1.0,nonlinear,35.50280806149449,,1,Covariance
30,disentangled_cov,halfcheetah-medium-v2,17,1.5,nonlinear,29.140992887895123,,1,Covariance
31,disentangled_cov,halfcheetah-medium-v2,17,2.0,nonlinear,15.008809163876855,,1,Covariance
32,disentangled_dcor,halfcheetah-medium-v2,4,0.5,nonlinear,39.24605112612665,,1,dCor
33,disentangled_dcor,halfcheetah-medium-v2,4,1.0,nonlinear,37.96976704767251,,1,dCor
34,disentangled_dcor,halfcheetah-medium-v2,4,1.5,nonlinear,36.31152581670697,,1,dCor
35,disentangled_dcor,halfcheetah-medium-v2,4,2.0,nonlinear,35.961040311610695,,1,dCor
36,disentangled_dcor,halfcheetah-medium-v2,8,0.5,nonlinear,37.46231656537182,,1,dCor
37,disentangled_dcor,halfcheetah-medium-v2,8,1.0,nonlinear,39.77858629192678,,1,dCor
38,disentangled_dcor,halfcheetah-medium-v2,8,1.5,nonlinear,36.610603912378394,,1,dCor
39,disentangled_dcor,halfcheetah-medium-v2,8,2.0,nonlinear,28.42180397356293,,1,dCor
40,disentangled_dcor,halfcheetah-medium-v2,13,0.5,nonlinear,37.68434783264643,,1,dCor
