Method,Env,Dim,Scale,Type,Seed,Score,Source
plain,hopper-medium-v2,11,0.5,nonlinear,1,43.82791263665331,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/hopper-medium-v2/nd11_ns0p5_nonlinear/seed_1/metrics.json
plain,hopper-medium-v2,11,0.5,nonlinear,3,44.15098091094916,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/hopper-medium-v2/nd11_ns0p5_nonlinear/seed_3/metrics.json
plain,hopper-medium-v2,11,0.5,nonlinear,2,44.69881036531475,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/hopper-medium-v2/nd11_ns0p5_nonlinear/seed_2/metrics.json
plain,hopper-medium-v2,8,1.5,nonlinear,1,46.732639738516326,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/hopper-medium-v2/nd8_ns1p5_nonlinear/seed_1/metrics.json
plain,hopper-medium-v2,8,1.5,nonlinear,3,37.666797873184045,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/hopper-medium-v2/nd8_ns1p5_nonlinear/seed_3/metrics.json
plain,hopper-medium-v2,8,1.5,nonlinear,2,43.272654564609944,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/hopper-medium-v2/nd8_ns1p5_nonlinear/seed_2/metrics.json
plain,hopper-medium-v2,11,1.0,nonlinear,1,35.81244538639749,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/hopper-medium-v2/nd11_ns1p0_nonlinear/seed_1/metrics.json
plain,hopper-medium-v2,11,1.0,nonlinear,3,43.423627752354236,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/hopper-medium-v2/nd11_ns1p0_nonlinear/seed_3/metrics.json
plain,hopper-medium-v2,11,1.0,nonlinear,2,39.168627140635856,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/hopper-medium-v2/nd11_ns1p0_nonlinear/seed_2/metrics.json
plain,hopper-medium-v2,6,2.0,nonlinear,1,39.78833250501998,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/hopper-medium-v2/nd6_ns2p0_nonlinear/seed_1/metrics.json
plain,hopper-medium-v2,6,2.0,nonlinear,3,42.03962044391726,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/hopper-medium-v2/nd6_ns2p0_nonlinear/seed_3/metrics.json
plain,hopper-medium-v2,6,2.0,nonlinear,2,39.11119757761836,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/hopper-medium-v2/nd6_ns2p0_nonlinear/seed_2/metrics.json
