index,Method,Env,Dim,Scale,Type,mean,std,count,Method Name
0,disentangled_barlow,halfcheetah-medium-v2,5,0.5,nonlinear,38.732191107226974,,1,Barlow
1,disentangled_barlow,halfcheetah-medium-v2,5,1.0,nonlinear,39.30814126115979,,1,Barlow
2,disentangled_barlow,halfcheetah-medium-v2,5,2.0,nonlinear,35.467938577185095,,1,Barlow
3,disentangled_barlow,halfcheetah-medium-v2,5,4.0,nonlinear,12.899284289438675,,1,Barlow
4,disentangled_barlow,halfcheetah-medium-v2,5,8.0,nonlinear,3.1021978565348074,,1,Barlow
5,disentangled_barlow,halfcheetah-medium-v2,10,0.5,nonlinear,39.76312238812374,,1,Barlow
6,disentangled_barlow,halfcheetah-medium-v2,10,1.0,nonlinear,37.82254202298094,,1,Barlow
7,disentangled_barlow,halfcheetah-medium-v2,10,2.0,nonlinear,32.0919380796523,,1,Barlow
8,disentangled_barlow,halfcheetah-medium-v2,10,4.0,nonlinear,5.132801947711605,,1,Barlow
9,disentangled_barlow,halfcheetah-medium-v2,10,8.0,nonlinear,2.0328507055132934,,1,Barlow
10,disentangled_barlow,halfcheetah-medium-v2,20,0.5,nonlinear,39.94597588204635,,1,Barlow
11,disentangled_barlow,halfcheetah-medium-v2,20,1.0,nonlinear,7.523050391662449,,1,Barlow
12,disentangled_barlow,halfcheetah-medium-v2,20,2.0,nonlinear,15.425117755068266,,1,Barlow
13,disentangled_barlow,halfcheetah-medium-v2,20,4.0,nonlinear,2.8256423648559057,,1,Barlow
14,disentangled_barlow,halfcheetah-medium-v2,20,8.0,nonlinear,1.1934784921404646,,1,Barlow
15,disentangled_barlow,halfcheetah-medium-v2,40,0.5,nonlinear,38.973095066132935,,1,Barlow
16,disentangled_barlow,halfcheetah-medium-v2,40,1.0,nonlinear,34.84230037056707,,1,Barlow
17,disentangled_barlow,halfcheetah-medium-v2,40,2.0,nonlinear,7.176342435000181,,1,Barlow
18,disentangled_barlow,halfcheetah-medium-v2,40,4.0,nonlinear,2.0609562659033447,,1,Barlow
19,disentangled_barlow,halfcheetah-medium-v2,40,8.0,nonlinear,0.9647587202769015,,1,Barlow
20,disentangled_barlow,halfcheetah-medium-v2,80,0.5,nonlinear,37.0619270175679,,1,Barlow
21,disentangled_barlow,halfcheetah-medium-v2,80,1.0,nonlinear,27.122488546912244,,1,Barlow
22,disentangled_barlow,halfcheetah-medium-v2,80,2.0,nonlinear,4.623743420549037,,1,Barlow
23,disentangled_barlow,halfcheetah-medium-v2,80,4.0,nonlinear,1.2789582092930747,,1,Barlow
